Tm,PassYds,RushYds,Year,def_rk
Chicago Bears,4509,1637,2005,2.0
Indianapolis Colts,4913,1762,2005,11.0
Pittsburgh Steelers,4544,1376,2005,4.0
Denver Broncos,5006,1363,2005,15.0
Carolina Panthers,4522,1465,2005,3.0
Jacksonville Jaguars,4655,1709,2005,6.0
Seattle Seahawks,5069,1510,2005,16.0
Tampa Bay Buccaneers,4444,1515,2005,1.0
Washington Redskins,4767,1686,2005,9.0
Baltimore Ravens,4549,1591,2005,5.0
Cleveland Browns,5069,2202,2005,16.0
Dallas Cowboys,4814,1731,2005,10.0
San Diego Chargers,4948,1349,2005,13.0
New York Giants,5240,1656,2005,24.0
Miami Dolphins,5078,1771,2005,18.0
Kansas City Chiefs,5249,1570,2005,25.0
New England Patriots,5283,1580,2005,26.0
Atlanta Falcons,5200,2063,2005,22.0
Minnesota Vikings,5173,1841,2005,21.0
Green Bay Packers,4690,2010,2005,7.0
Detroit Lions,5158,2040,2005,20.0
Cincinnati Bengals,5419,1850,2005,28.0
New York Jets,4940,2185,2005,12.0
Buffalo Bills,5496,2205,2005,29.0
Oakland Raiders,5292,2049,2005,27.0
Arizona Cardinals,4729,1632,2005,8.0
Philadelphia Eagles,5206,1883,2005,23.0
New Orleans Saints,4994,2145,2005,14.0
Tennessee Titans,5110,1894,2005,19.0
San Francisco 49ers,6259,1832,2005,32.0
St. Louis Rams,5602,2178,2005,30.0
Houston Texans,5824,2303,2005,31.0
Baltimore Ravens,4225,1214,2006,1.0
New England Patriots,4710,1507,2006,6.0
Chicago Bears,4706,1590,2006,5.0
Jacksonville Jaguars,4538,1460,2006,2.0
Miami Dolphins,4625,1618,2006,4.0
New York Jets,5306,2084,2006,20.0
San Diego Chargers,4825,1613,2006,10.0
Carolina Panthers,4737,1737,2006,7.0
Denver Broncos,5220,1813,2006,14.0
Buffalo Bills,5273,2254,2006,18.0
Pittsburgh Steelers,4805,1412,2006,9.0
Kansas City Chiefs,5262,1928,2006,16.0
New Orleans Saints,4917,2063,2006,11.0
Minnesota Vikings,4803,985,2006,8.0
Atlanta Falcons,5325,1657,2006,22.0
Philadelphia Eagles,5249,2182,2006,15.0
Cincinnati Bengals,5681,1863,2006,30.0
Oakland Raiders,4557,2144,2006,3.0
Seattle Seahawks,5285,2029,2006,19.0
Dallas Cowboys,5165,1659,2006,13.0
Tampa Bay Buccaneers,5271,1917,2006,17.0
Cleveland Browns,5515,2273,2006,27.0
Indianapolis Colts,5316,2768,2006,21.0
New York Giants,5479,1830,2006,25.0
Green Bay Packers,5134,1825,2006,12.0
Houston Texans,5400,1956,2006,24.0
Washington Redskins,5688,2197,2006,31.0
St. Louis Rams,5362,2327,2006,23.0
Arizona Cardinals,5591,1897,2006,29.0
Detroit Lions,5530,2010,2006,28.0
Tennessee Titans,5915,2313,2006,32.0
San Francisco 49ers,5507,1936,2006,26.0
Indianapolis Colts,4475,1711,2007,3.0
Pittsburgh Steelers,4262,1438,2007,1.0
