Tm,PassYds,RushYds,Year,def_rk
Seattle Seahawks,3364,1304,2015,2.0
Cincinnati Bengals,3976,1477,2015,20.0
Kansas City Chiefs,3698,1571,2015,9.0
Denver Broncos,3193,1337,2015,1.0
Minnesota Vikings,3762,1748,2015,12.0
Carolina Panthers,3752,1415,2015,11.0
Arizona Cardinals,3687,1460,2015,8.0
Houston Texans,3366,1597,2015,3.0
New York Jets,3763,1335,2015,13.0
New England Patriots,3852,1578,2015,17.0
Pittsburgh Steelers,4350,1459,2015,30.0
Green Bay Packers,3642,1905,2015,6.0
St. Louis Rams,4065,1820,2015,23.0
Atlanta Falcons,3882,1680,2015,18.0
Buffalo Bills,3972,1730,2015,19.0
Dallas Cowboys,3636,1931,2015,5.0
Washington Redskins,4128,1962,2015,25.0
San Francisco 49ers,4179,2020,2015,27.0
Miami Dolphins,4000,2019,2015,21.0
Chicago Bears,3593,1934,2015,4.0
San Diego Chargers,3786,2005,2015,14.0
Oakland Raiders,4140,1678,2015,26.0
Detroit Lions,3789,1808,2015,15.0
Baltimore Ravens,3737,1661,2015,10.0
Indianapolis Colts,4114,1952,2015,24.0
Tampa Bay Buccaneers,3840,1606,2015,16.0
Tennessee Titans,3678,1797,2015,7.0
Philadelphia Eagles,4273,2153,2015,28.0
Cleveland Browns,4012,2055,2015,22.0
New York Giants,4783,1942,2015,32.0
Jacksonville Jaguars,4291,1709,2015,29.0
New Orleans Saints,4544,2071,2015,31.0
