,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,def_rk,name
0,49,2008,2008-09-08,1,GNB,MIN,W 24-19,True,True,22,178,1,35,1,18.0,aaron rodgers
1,50,2008,2008-09-14,2,GNB,DET,W 48-25,False,True,38,328,3,25,0,27.0,aaron rodgers
2,51,2008,2008-09-21,3,GNB,DAL,L 16-27,True,True,39,290,0,10,1,5.0,aaron rodgers
3,52,2008,2008-09-28,4,GNB,TAM,L 21-30,False,True,27,165,2,8,0,4.0,aaron rodgers
4,53,2008,2008-10-05,5,GNB,ATL,L 24-27,True,True,37,313,3,4,0,21.0,aaron rodgers
5,54,2008,2008-10-12,6,GNB,SEA,W 27-17,False,True,30,208,2,23,1,32.0,aaron rodgers
6,55,2008,2008-10-19,7,GNB,IND,W 34-14,True,True,28,186,1,8,0,6.0,aaron rodgers
7,56,2008,2008-11-02,9,GNB,TEN,L 16-19,False,True,41,314,1,11,0,9.0,aaron rodgers
8,57,2008,2008-11-09,10,GNB,MIN,L 27-28,False,True,26,142,0,1,0,18.0,aaron rodgers
9,58,2008,2008-11-16,11,GNB,CHI,W 37-3,True,True,30,227,2,1,0,30.0,aaron rodgers
10,59,2008,2008-11-24,12,GNB,NOR,L 29-51,False,True,41,248,2,36,1,23.0,aaron rodgers
11,60,2008,2008-11-30,13,GNB,CAR,L 31-35,True,True,45,298,3,26,0,16.0,aaron rodgers
12,61,2008,2008-12-07,14,GNB,HOU,L 21-24,True,True,30,295,2,4,0,17.0,aaron rodgers
13,62,2008,2008-12-14,15,GNB,JAX,L 16-20,False,True,32,278,1,22,0,24.0,aaron rodgers
14,63,2008,2008-12-22,16,GNB,CHI,L 17-20,False,True,39,260,2,-6,0,30.0,aaron rodgers
15,64,2008,2008-12-28,17,GNB,DET,W 31-21,True,True,31,308,3,-1,0,27.0,aaron rodgers
16,65,2009,2009-09-13,1,GNB,CHI,W 21-15,True,True,28,184,1,7,0,13.0,aaron rodgers
17,66,2009,2009-09-20,2,GNB,CIN,L 24-31,True,True,39,261,1,43,0,6.0,aaron rodgers
18,67,2009,2009-09-27,3,GNB,STL,W 36-17,False,True,23,269,2,38,1,25.0,aaron rodgers
19,68,2009,2009-10-05,4,GNB,MIN,L 23-30,False,True,37,384,2,16,0,19.0,aaron rodgers
20,69,2009,2009-10-18,6,GNB,DET,W 26-0,True,True,37,358,2,9,0,32.0,aaron rodgers
21,70,2009,2009-10-25,7,GNB,CLE,W 31-3,False,True,20,246,3,23,0,29.0,aaron rodgers
22,71,2009,2009-11-01,8,GNB,MIN,L 26-38,True,True,41,287,3,52,0,19.0,aaron rodgers
23,72,2009,2009-11-08,9,GNB,TAM,L 28-38,False,True,35,266,2,26,1,10.0,aaron rodgers
24,73,2009,2009-11-15,10,GNB,DAL,W 17-7,True,True,36,189,1,15,1,20.0,aaron rodgers
25,74,2009,2009-11-22,11,GNB,SFO,W 30-24,True,True,45,344,2,13,0,21.0,aaron rodgers
26,75,2009,2009-11-26,12,GNB,DET,W 34-12,False,True,39,348,3,5,0,32.0,aaron rodgers
27,76,2009,2009-12-07,13,GNB,BAL,W 27-14,True,True,40,263,3,30,0,8.0,aaron rodgers
28,77,2009,2009-12-13,14,GNB,CHI,W 21-14,False,True,24,180,0,6,0,13.0,aaron rodgers
29,78,2009,2009-12-20,15,GNB,PIT,L 36-37,False,True,48,383,3,22,1,16.0,aaron rodgers
30,79,2009,2009-12-27,16,GNB,SEA,W 48-10,True,True,23,237,1,9,0,30.0,aaron rodgers
31,80,2009,2010-01-03,17,GNB,ARI,W 33-7,False,True,26,235,1,2,1,23.0,aaron rodgers
32,81,2010,2010-09-12,1,GNB,PHI,W 27-20,False,True,31,188,2,9,0,14.0,aaron rodgers
33,82,2010,2010-09-19,2,GNB,BUF,W 34-7,True,True,29,255,2,20,1,3.0,aaron rodgers
34,83,2010,2010-09-27,3,GNB,CHI,L 17-20,False,True,45,316,1,20,1,20.0,aaron rodgers
35,84,2010,2010-10-03,4,GNB,DET,W 28-26,True,True,17,181,3,20,0,16.0,aaron rodgers
36,85,2010,2010-10-10,5,GNB,WAS,L 13-16,False,True,46,293,1,30,0,31.0,aaron rodgers
37,86,2010,2010-10-17,6,GNB,MIA,L 20-23,True,True,33,313,1,14,1,8.0,aaron rodgers
38,87,2010,2010-10-24,7,GNB,MIN,W 28-24,True,True,34,295,2,14,0,9.0,aaron rodgers
39,88,2010,2010-10-31,8,GNB,NYJ,W 9-0,False,True,34,170,0,5,0,6.0,aaron rodgers
40,89,2010,2010-11-07,9,GNB,DAL,W 45-7,True,True,34,289,3,41,0,26.0,aaron rodgers
41,90,2010,2010-11-21,11,GNB,MIN,W 31-3,False,True,31,301,4,21,0,9.0,aaron rodgers
42,91,2010,2010-11-28,12,GNB,ATL,L 17-20,False,True,35,344,1,51,1,22.0,aaron rodgers
43,92,2010,2010-12-05,13,GNB,SFO,W 34-16,True,True,30,298,3,39,0,24.0,aaron rodgers
44,93,2010,2010-12-12,14,GNB,DET,L 3-7,False,True,11,46,0,25,0,16.0,aaron rodgers
45,95,2010,2010-12-26,16,GNB,NYG,W 45-17,True,True,37,404,4,26,0,10.0,aaron rodgers
46,96,2010,2011-01-02,17,GNB,CHI,W 10-3,True,True,28,229,1,21,0,20.0,aaron rodgers
47,97,2011,2011-09-08,1,GNB,NOR,W 42-34,True,True,35,312,3,1,0,30.0,aaron rodgers
48,98,2011,2011-09-18,2,GNB,CAR,W 30-23,False,True,30,308,2,13,0,24.0,aaron rodgers
49,99,2011,2011-09-25,3,GNB,CHI,W 27-17,False,True,38,297,3,3,0,28.0,aaron rodgers
50,100,2011,2011-10-02,4,GNB,DEN,W 49-23,True,True,38,408,4,36,2,18.0,aaron rodgers
51,101,2011,2011-10-09,5,GNB,ATL,W 25-14,False,True,39,396,2,-1,0,20.0,aaron rodgers
52,102,2011,2011-10-16,6,GNB,STL,W 24-3,True,True,29,316,3,15,0,7.0,aaron rodgers
53,103,2011,2011-10-23,7,GNB,MIN,W 33-27,False,True,30,335,3,8,0,26.0,aaron rodgers
54,104,2011,2011-11-06,9,GNB,SDG,W 45-38,False,True,26,247,4,52,0,13.0,aaron rodgers
55,105,2011,2011-11-14,10,GNB,MIN,W 45-7,True,True,30,250,4,21,0,26.0,aaron rodgers
