,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,def_rk,name
0,1,2016,2016-09-11,1,DAL,NYG,L 19-20,True,True,45,227,0,12,0,10.0,dak prescott
1,2,2016,2016-09-18,2,DAL,WAS,W 27-23,False,True,30,292,0,6,1,28.0,dak prescott
2,3,2016,2016-09-25,3,DAL,CHI,W 31-17,True,True,24,248,1,36,1,15.0,dak prescott
3,4,2016,2016-10-02,4,DAL,SFO,W 24-17,False,True,32,245,2,3,0,32.0,dak prescott
4,5,2016,2016-10-09,5,DAL,CIN,W 28-14,True,True,24,227,1,4,1,17.0,dak prescott
5,6,2016,2016-10-16,6,DAL,GNB,W 30-16,False,True,27,247,3,6,0,22.0,dak prescott
6,7,2016,2016-10-30,8,DAL,PHI,W 29-23,True,True,39,287,2,38,1,13.0,dak prescott
7,8,2016,2016-11-06,9,DAL,CLE,W 35-10,False,True,27,247,3,20,0,31.0,dak prescott
8,9,2016,2016-11-13,10,DAL,PIT,W 35-30,False,True,32,319,2,0,0,12.0,dak prescott
9,10,2016,2016-11-20,11,DAL,BAL,W 27-17,True,True,36,301,3,16,0,7.0,dak prescott
10,11,2016,2016-11-24,12,DAL,WAS,W 31-26,True,True,24,195,1,39,1,28.0,dak prescott
11,12,2016,2016-12-01,13,DAL,MIN,W 17-15,False,True,18,139,1,37,0,3.0,dak prescott
12,13,2016,2016-12-11,14,DAL,NYG,L 7-10,False,True,37,165,1,1,0,10.0,dak prescott
13,14,2016,2016-12-18,15,DAL,TAM,W 26-20,True,True,36,279,0,20,1,23.0,dak prescott
14,15,2016,2016-12-26,16,DAL,DET,W 42-21,True,True,20,212,3,35,0,18.0,dak prescott
15,16,2016,2017-01-01,17,DAL,PHI,L 13-27,False,True,8,37,0,9,0,13.0,dak prescott
16,17,2017,2017-09-10,1,DAL,NYG,W 19-3,True,True,39,268,1,24,0,31.0,dak prescott
17,18,2017,2017-09-17,2,DAL,DEN,L 17-42,False,True,50,238,2,24,0,3.0,dak prescott
18,19,2017,2017-09-25,3,DAL,ARI,W 28-17,False,True,18,183,2,16,1,6.0,dak prescott
19,20,2017,2017-10-01,4,DAL,LAR,L 30-35,True,True,36,252,3,25,0,19.0,dak prescott
20,21,2017,2017-10-08,5,DAL,GNB,L 31-35,True,True,36,251,3,37,1,22.0,dak prescott
21,22,2017,2017-10-22,7,DAL,SFO,W 40-10,False,True,25,234,3,26,1,24.0,dak prescott
22,23,2017,2017-10-29,8,DAL,WAS,W 33-19,False,True,22,143,0,16,0,21.0,dak prescott
23,24,2017,2017-11-05,9,DAL,KAN,W 28-17,True,True,33,249,2,27,1,28.0,dak prescott
24,25,2017,2017-11-12,10,DAL,ATL,L 7-27,False,True,30,176,0,42,1,9.0,dak prescott
25,26,2017,2017-11-19,11,DAL,PHI,L 9-37,True,True,31,145,0,10,0,4.0,dak prescott
26,27,2017,2017-11-23,12,DAL,LAC,L 6-28,True,True,27,179,0,0,0,15.0,dak prescott
27,28,2017,2017-11-30,13,DAL,WAS,W 38-14,True,True,22,102,2,28,0,21.0,dak prescott
28,29,2017,2017-12-10,14,DAL,NYG,W 30-10,False,True,30,332,3,13,0,31.0,dak prescott
29,30,2017,2017-12-17,15,DAL,OAK,W 20-17,False,True,27,212,0,32,1,,dak prescott
30,31,2017,2017-12-24,16,DAL,SEA,L 12-21,True,True,34,181,0,21,0,11.0,dak prescott
31,32,2017,2017-12-31,17,DAL,PHI,W 6-0,False,True,30,179,1,16,0,4.0,dak prescott
32,33,2018,2018-09-09,1,DAL,CAR,L 8-16,False,True,29,170,0,19,0,15.0,dak prescott
33,34,2018,2018-09-16,2,DAL,NYG,W 20-13,True,True,25,160,1,45,0,24.0,dak prescott
34,35,2018,2018-09-23,3,DAL,SEA,L 13-24,False,True,34,168,1,21,0,16.0,dak prescott
35,36,2018,2018-09-30,4,DAL,DET,W 26-24,True,True,27,255,2,2,0,10.0,dak prescott
36,37,2018,2018-10-07,5,DAL,HOU,L 16-19,False,True,29,208,1,34,0,12.0,dak prescott
37,38,2018,2018-10-14,6,DAL,JAX,W 40-7,True,True,27,183,2,82,1,5.0,dak prescott
38,39,2018,2018-10-21,7,DAL,WAS,L 17-20,False,True,35,273,1,33,1,17.0,dak prescott
39,40,2018,2018-11-05,9,DAL,TEN,L 14-28,True,True,31,243,2,11,0,8.0,dak prescott
40,41,2018,2018-11-11,10,DAL,PHI,W 27-20,False,True,36,270,1,9,1,23.0,dak prescott
41,42,2018,2018-11-18,11,DAL,ATL,W 22-19,False,True,32,208,0,5,1,28.0,dak prescott
42,43,2018,2018-11-22,12,DAL,WAS,W 31-23,True,True,31,289,2,18,1,17.0,dak prescott
