,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,def_rk,name
0,1,2014,2014-09-07,1,OAK,NYJ,L 14-19,False,True,32,151,2,-1,0,6.0,derek carr
1,2,2014,2014-09-14,2,OAK,HOU,L 14-30,True,True,42,263,1,58,0,16.0,derek carr
2,3,2014,2014-09-21,3,OAK,NWE,L 9-16,False,True,34,174,0,0,0,13.0,derek carr
3,4,2014,2014-09-28,4,OAK,MIA,L 14-38,True,True,25,146,1,9,0,12.0,derek carr
4,5,2014,2014-10-12,6,OAK,SDG,L 28-31,True,True,34,282,4,2,0,,derek carr
5,6,2014,2014-10-19,7,OAK,ARI,L 13-24,True,True,28,173,0,2,0,24.0,derek carr
6,7,2014,2014-10-26,8,OAK,CLE,L 13-23,False,True,54,328,1,2,0,23.0,derek carr
7,8,2014,2014-11-02,9,OAK,SEA,L 24-30,False,True,41,194,2,9,0,1.0,derek carr
8,9,2014,2014-11-09,10,OAK,DEN,L 17-41,True,True,47,192,2,0,0,3.0,derek carr
9,10,2014,2014-11-16,11,OAK,SDG,L 6-13,False,True,34,172,0,0,0,,derek carr
10,11,2014,2014-11-20,12,OAK,KAN,W 24-20,True,True,35,174,1,2,0,7.0,derek carr
11,12,2014,2014-11-30,13,OAK,STL,L 0-52,False,True,39,173,0,1,0,,derek carr
12,13,2014,2014-12-07,14,OAK,SFO,W 24-13,True,True,28,254,3,2,0,5.0,derek carr
13,14,2014,2014-12-14,15,OAK,KAN,L 13-31,False,True,56,222,1,0,0,7.0,derek carr
14,15,2014,2014-12-21,16,OAK,BUF,W 26-24,True,True,34,214,2,0,0,4.0,derek carr
15,16,2014,2014-12-28,17,OAK,DEN,L 14-47,False,True,36,158,1,6,0,3.0,derek carr
16,17,2015,2015-09-13,1,OAK,CIN,L 13-33,True,True,12,61,0,8,0,11.0,derek carr
17,18,2015,2015-09-20,2,OAK,BAL,W 37-33,True,True,46,351,3,23,0,8.0,derek carr
18,19,2015,2015-09-27,3,OAK,CLE,W 27-20,False,True,32,314,2,-1,0,27.0,derek carr
19,20,2015,2015-10-04,4,OAK,CHI,L 20-22,False,True,33,196,2,0,0,14.0,derek carr
20,21,2015,2015-10-11,5,OAK,DEN,L 10-16,True,True,39,249,1,-1,0,1.0,derek carr
21,22,2015,2015-10-25,7,OAK,SDG,W 37-29,False,True,31,289,3,3,0,,derek carr
22,23,2015,2015-11-01,8,OAK,NYJ,W 34-20,True,True,36,333,4,-2,0,4.0,derek carr
23,24,2015,2015-11-08,9,OAK,PIT,L 35-38,False,True,44,301,4,3,0,21.0,derek carr
24,25,2015,2015-11-15,10,OAK,MIN,L 14-30,True,True,43,302,2,12,0,13.0,derek carr
25,26,2015,2015-11-22,11,OAK,DET,L 13-18,False,True,25,169,0,8,0,18.0,derek carr
26,27,2015,2015-11-29,12,OAK,TEN,W 24-21,False,True,37,330,3,5,0,12.0,derek carr
27,28,2015,2015-12-06,13,OAK,KAN,L 20-34,True,True,48,283,2,0,0,7.0,derek carr
28,29,2015,2015-12-13,14,OAK,DEN,W 15-12,False,True,29,135,2,-4,0,1.0,derek carr
29,30,2015,2015-12-20,15,OAK,GNB,L 20-30,True,True,47,276,2,42,0,15.0,derek carr
30,31,2015,2015-12-24,16,OAK,SDG,W 23-20,True,True,38,204,1,30,0,,derek carr
31,32,2015,2016-01-03,17,OAK,KAN,L 17-23,False,True,33,194,1,12,0,7.0,derek carr
32,33,2016,2016-09-11,1,OAK,NOR,W 35-34,False,True,38,319,1,16,0,27.0,derek carr
33,34,2016,2016-09-18,2,OAK,ATL,L 28-35,True,True,45,299,3,10,0,25.0,derek carr
34,35,2016,2016-09-25,3,OAK,TEN,W 17-10,False,True,35,249,1,-1,0,20.0,derek carr
35,36,2016,2016-10-02,4,OAK,BAL,W 28-27,False,True,35,199,4,-2,0,7.0,derek carr
36,37,2016,2016-10-09,5,OAK,SDG,W 34-31,True,True,40,317,2,13,0,,derek carr
37,38,2016,2016-10-16,6,OAK,KAN,L 10-26,True,True,34,225,1,8,0,24.0,derek carr
