,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,def_rk,name
0,10,2016,2016-11-20,11,LAR,MIA,L 10-14,True,True,31,134,0,11,0,15.0,jared goff
1,11,2016,2016-11-27,12,LAR,NOR,L 21-49,False,True,32,214,3,0,0,32.0,jared goff
2,12,2016,2016-12-04,13,LAR,NWE,L 10-26,False,True,32,161,1,-1,0,12.0,jared goff
3,13,2016,2016-12-11,14,LAR,ATL,L 14-42,True,True,41,235,0,2,1,28.0,jared goff
4,14,2016,2016-12-15,15,LAR,SEA,L 3-24,False,True,25,135,0,0,0,8.0,jared goff
5,15,2016,2016-12-24,16,LAR,SFO,L 21-22,True,True,24,90,1,4,0,14.0,jared goff
6,16,2016,2017-01-01,17,LAR,ARI,L 6-44,True,True,20,120,0,0,0,4.0,jared goff
7,17,2017,2017-09-10,1,LAR,IND,W 46-9,True,True,29,306,1,2,0,28.0,jared goff
8,18,2017,2017-09-17,2,LAR,WAS,L 20-27,True,True,24,219,1,1,0,9.0,jared goff
9,19,2017,2017-09-21,3,LAR,SFO,W 41-39,False,True,28,292,3,-1,0,22.0,jared goff
10,20,2017,2017-10-01,4,LAR,DAL,W 35-30,False,True,36,255,2,-1,0,11.0,jared goff
11,21,2017,2017-10-08,5,LAR,SEA,L 10-16,True,True,47,288,0,22,0,6.0,jared goff
12,22,2017,2017-10-15,6,LAR,JAX,W 27-17,False,True,21,124,1,9,0,1.0,jared goff
13,23,2017,2017-10-22,7,LAR,ARI,W 33-0,True,True,37,235,1,13,1,14.0,jared goff
14,24,2017,2017-11-05,9,LAR,NYG,W 51-17,False,True,22,311,4,0,0,31.0,jared goff
15,25,2017,2017-11-12,10,LAR,HOU,W 33-7,True,True,37,355,3,3,0,24.0,jared goff
16,26,2017,2017-11-19,11,LAR,MIN,L 7-24,False,True,37,225,0,8,0,2.0,jared goff
17,27,2017,2017-11-26,12,LAR,NOR,W 26-20,True,True,43,354,2,-3,0,15.0,jared goff
18,28,2017,2017-12-03,13,LAR,ARI,W 32-16,False,True,31,220,2,2,0,14.0,jared goff
