,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,def_rk,name
0,2,2018,2018-09-16,2,BUF,LAC,L 20-31,True,True,33,245,1,32,0,9.0,josh allen
1,3,2018,2018-09-23,3,BUF,MIN,W 27-6,False,True,22,196,1,39,2,3.0,josh allen
2,4,2018,2018-09-30,4,BUF,GNB,L 0-22,False,True,33,151,0,19,0,12.0,josh allen
3,5,2018,2018-10-07,5,BUF,TEN,W 13-12,True,True,19,82,0,19,1,6.0,josh allen
4,6,2018,2018-10-14,6,BUF,HOU,L 13-20,False,True,17,84,0,20,0,28.0,josh allen
5,11,2018,2018-11-25,12,BUF,JAX,W 24-21,True,True,19,160,1,99,1,2.0,josh allen
6,12,2018,2018-12-02,13,BUF,MIA,L 17-21,False,True,33,231,2,135,0,21.0,josh allen
7,13,2018,2018-12-09,14,BUF,NYJ,L 23-27,True,True,36,206,0,101,1,24.0,josh allen
8,14,2018,2018-12-16,15,BUF,DET,W 14-13,True,True,26,204,1,16,1,8.0,josh allen
9,15,2018,2018-12-23,16,BUF,NWE,L 12-24,False,True,41,217,1,30,0,22.0,josh allen
10,16,2018,2018-12-30,17,BUF,MIA,W 42-17,True,True,26,224,3,95,2,21.0,josh allen
11,17,2019,2019-09-08,1,BUF,NYJ,W 17-16,False,True,37,254,1,38,1,17.0,josh allen
12,18,2019,2019-09-15,2,BUF,NYG,W 28-14,False,True,30,253,1,21,1,28.0,josh allen
13,19,2019,2019-09-22,3,BUF,CIN,W 21-17,True,True,36,243,1,46,0,21.0,josh allen
14,20,2019,2019-09-29,4,BUF,NWE,L 10-16,True,True,28,153,0,26,1,2.0,josh allen
15,21,2019,2019-10-06,5,BUF,TEN,W 14-7,False,True,32,219,2,27,0,24.0,josh allen
16,22,2019,2019-10-20,7,BUF,MIA,W 31-21,True,True,26,202,2,32,0,26.0,josh allen
17,23,2019,2019-10-27,8,BUF,PHI,L 13-31,True,True,34,169,2,45,0,19.0,josh allen
18,24,2019,2019-11-03,9,BUF,WAS,W 24-9,True,True,20,160,1,12,1,18.0,josh allen
19,25,2019,2019-11-10,10,BUF,CLE,L 16-19,False,True,41,266,0,28,2,7.0,josh allen
20,26,2019,2019-11-17,11,BUF,MIA,W 37-20,False,True,33,256,3,56,1,26.0,josh allen
21,27,2019,2019-11-24,12,BUF,DEN,W 20-3,True,True,25,185,2,56,0,11.0,josh allen
22,28,2019,2019-11-28,13,BUF,DAL,W 26-15,False,True,24,231,1,43,1,10.0,josh allen
