,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,def_rk,name
0,1,2019,2019-09-08,1,ARI,DET,T 27-27,True,True,54,308,2,13,0,31.0,kyler murray
1,2,2019,2019-09-15,2,ARI,BAL,L 17-23,False,True,40,349,0,4,0,4.0,kyler murray
2,3,2019,2019-09-22,3,ARI,CAR,L 20-38,True,True,43,173,2,69,0,23.0,kyler murray
3,4,2019,2019-09-29,4,ARI,SEA,L 10-27,True,True,32,241,0,27,1,26.0,kyler murray
4,5,2019,2019-10-06,5,ARI,CIN,W 26-23,False,True,32,253,0,93,1,29.0,kyler murray
5,6,2019,2019-10-13,6,ARI,ATL,W 34-33,True,True,37,340,3,32,0,20.0,kyler murray
6,7,2019,2019-10-20,7,ARI,NYG,W 27-21,False,True,21,104,0,28,0,25.0,kyler murray
7,8,2019,2019-10-27,8,ARI,NOR,L 9-31,False,True,33,220,0,13,0,11.0,kyler murray
8,9,2019,2019-10-31,9,ARI,SFO,L 25-28,True,True,24,241,2,34,0,2.0,kyler murray
9,10,2019,2019-11-10,10,ARI,TAM,L 27-30,False,True,44,324,3,38,0,15.0,kyler murray
10,11,2019,2019-11-17,11,ARI,SFO,L 26-36,False,True,33,150,2,67,1,2.0,kyler murray
11,12,2019,2019-12-01,13,ARI,LAR,L 7-34,True,True,34,163,0,28,1,13.0,kyler murray
12,13,2019,2019-12-08,14,ARI,PIT,L 17-23,True,True,30,194,2,2,0,5.0,kyler murray
13,14,2019,2019-12-15,15,ARI,CLE,W 38-24,True,True,25,219,1,56,0,22.0,kyler murray
14,15,2019,2019-12-22,16,ARI,SEA,W 27-13,False,True,18,118,1,40,0,26.0,kyler murray
15,16,2019,2019-12-29,17,ARI,LAR,L 24-31,False,True,42,325,2,0,0,13.0,kyler murray
16,17,2020,2020-09-13,1,ARI,SFO,W 24-20,False,True,40,230,1,91,1,5.0,kyler murray
17,18,2020,2020-09-20,2,ARI,WAS,W 30-15,True,True,38,286,1,67,2,2.0,kyler murray
18,19,2020,2020-09-27,3,ARI,DET,L 23-26,True,True,35,270,2,29,1,32.0,kyler murray
19,20,2020,2020-10-04,4,ARI,CAR,L 21-31,False,True,31,133,3,78,0,18.0,kyler murray
20,21,2020,2020-10-11,5,ARI,NYJ,W 30-10,False,True,37,380,1,31,1,24.0,kyler murray
21,22,2020,2020-10-19,6,ARI,DAL,W 38-10,False,True,24,188,2,74,1,23.0,kyler murray
22,23,2020,2020-10-25,7,ARI,SEA,W 37-34,True,True,48,360,3,67,1,22.0,kyler murray
23,24,2020,2020-11-08,9,ARI,MIA,L 31-34,True,True,26,283,3,106,1,20.0,kyler murray
24,25,2020,2020-11-15,10,ARI,BUF,W 32-30,True,True,32,245,1,61,2,14.0,kyler murray
25,26,2020,2020-11-19,11,ARI,SEA,L 21-28,False,True,42,269,2,15,0,22.0,kyler murray
26,27,2020,2020-11-29,12,ARI,NWE,L 17-20,False,True,34,170,0,31,0,15.0,kyler murray
27,28,2020,2020-12-06,13,ARI,LAR,L 28-38,True,True,39,173,3,15,0,1.0,kyler murray
28,29,2020,2020-12-13,14,ARI,NYG,W 26-7,False,True,35,244,1,47,0,12.0,kyler murray
29,30,2020,2020-12-20,15,ARI,PHI,W 33-26,True,True,36,406,3,29,1,19.0,kyler murray
30,31,2020,2020-12-26,16,ARI,SFO,L 12-20,True,True,50,247,0,75,0,5.0,kyler murray
31,32,2020,2021-01-03,17,ARI,LAR,L 7-18,False,True,11,87,0,3,0,1.0,kyler murray
32,33,2021,2021-09-12,1,ARI,TEN,W 38-13,False,True,32,289,4,20,1,12.0,kyler murray
33,34,2021,2021-09-19,2,ARI,MIN,W 34-33,True,True,36,400,3,31,1,30.0,kyler murray
34,35,2021,2021-09-26,3,ARI,JAX,W 31-19,False,True,34,316,0,19,1,20.0,kyler murray
35,36,2021,2021-10-03,4,ARI,LAR,W 37-20,False,True,32,268,2,39,0,17.0,kyler murray
36,37,2021,2021-10-10,5,ARI,SFO,W 17-10,True,True,31,239,1,1,0,3.0,kyler murray
37,38,2021,2021-10-17,6,ARI,CLE,W 37-14,False,True,30,229,4,6,0,5.0,kyler murray
38,39,2021,2021-10-24,7,ARI,HOU,W 31-5,True,True,28,261,3,10,0,31.0,kyler murray
39,40,2021,2021-10-28,8,ARI,GNB,L 21-24,True,True,33,274,0,21,0,9.0,kyler murray
40,44,2021,2021-12-05,13,ARI,CHI,W 33-22,False,True,15,123,2,59,2,6.0,kyler murray
41,45,2021,2021-12-13,14,ARI,LAR,L 23-30,True,True,49,383,0,61,0,17.0,kyler murray
