,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,def_rk,name
0,10,2018,2018-11-18,11,BAL,CIN,W 24-21,True,True,19,150,0,119,0,32.0,lamar jackson
1,11,2018,2018-11-25,12,BAL,OAK,W 34-17,True,True,25,178,1,71,1,19.0,lamar jackson
2,12,2018,2018-12-02,13,BAL,ATL,W 26-16,False,True,21,125,0,75,1,27.0,lamar jackson
3,13,2018,2018-12-09,14,BAL,KAN,L 24-27,False,True,24,147,2,67,0,31.0,lamar jackson
4,14,2018,2018-12-16,15,BAL,TAM,W 20-12,True,True,23,131,1,95,0,26.0,lamar jackson
5,15,2018,2018-12-22,16,BAL,LAC,W 22-10,False,True,22,204,1,39,0,9.0,lamar jackson
6,16,2018,2018-12-30,17,BAL,CLE,W 26-24,True,True,24,179,0,90,2,25.0,lamar jackson
7,17,2019,2019-09-08,1,BAL,MIA,W 59-10,False,True,20,324,5,6,0,26.0,lamar jackson
8,18,2019,2019-09-15,2,BAL,ARI,W 23-17,True,True,37,272,2,120,0,31.0,lamar jackson
9,19,2019,2019-09-22,3,BAL,KAN,L 28-33,False,True,43,267,0,46,1,8.0,lamar jackson
10,20,2019,2019-09-29,4,BAL,CLE,L 25-40,True,True,34,247,3,66,0,7.0,lamar jackson
11,21,2019,2019-10-06,5,BAL,PIT,W 26-23,False,True,28,161,1,70,0,3.0,lamar jackson
12,22,2019,2019-10-13,6,BAL,CIN,W 23-17,True,True,33,236,0,152,1,21.0,lamar jackson
13,23,2019,2019-10-20,7,BAL,SEA,W 30-16,False,True,20,143,0,116,1,27.0,lamar jackson
14,24,2019,2019-11-03,9,BAL,NWE,W 37-20,True,True,23,163,1,61,2,2.0,lamar jackson
15,25,2019,2019-11-10,10,BAL,CIN,W 49-13,False,True,17,223,3,65,1,21.0,lamar jackson
16,26,2019,2019-11-17,11,BAL,HOU,W 41-7,True,True,24,222,4,79,0,29.0,lamar jackson
17,27,2019,2019-11-25,12,BAL,LAR,W 45-6,False,True,20,169,5,95,0,12.0,lamar jackson
18,28,2019,2019-12-01,13,BAL,SFO,W 20-17,True,True,23,105,1,101,1,1.0,lamar jackson
19,29,2019,2019-12-08,14,BAL,BUF,W 24-17,False,True,25,145,3,40,0,4.0,lamar jackson
20,30,2019,2019-12-12,15,BAL,NYJ,W 42-21,True,True,23,212,5,86,0,17.0,lamar jackson
21,31,2019,2019-12-22,16,BAL,CLE,W 31-15,False,True,31,238,3,103,0,7.0,lamar jackson
