,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,def_rk,name
0,1,2009,2009-09-13,1,DET,NOR,L 27-45,False,True,37,205,0,0,1,26.0,matthew stafford
1,2,2009,2009-09-20,2,DET,MIN,L 13-27,True,True,30,152,1,7,0,19.0,matthew stafford
2,3,2009,2009-09-27,3,DET,WAS,W 19-14,True,True,36,241,1,23,0,8.0,matthew stafford
3,4,2009,2009-10-04,4,DET,CHI,L 24-48,False,True,36,296,1,20,0,13.0,matthew stafford
4,7,2009,2009-11-01,8,DET,STL,L 10-17,True,True,33,168,0,4,1,25.0,matthew stafford
5,8,2009,2009-11-08,9,DET,SEA,L 20-32,False,True,42,203,2,0,0,30.0,matthew stafford
6,9,2009,2009-11-15,10,DET,MIN,L 10-27,False,True,51,224,1,28,0,19.0,matthew stafford
7,10,2009,2009-11-22,11,DET,CLE,W 38-37,True,True,43,422,5,7,0,29.0,matthew stafford
8,11,2009,2009-11-26,12,DET,GNB,L 12-34,True,True,43,213,1,21,0,5.0,matthew stafford
9,12,2009,2009-12-06,13,DET,CIN,L 13-23,False,True,26,143,1,-2,0,6.0,matthew stafford
10,17,2010,2010-09-12,1,DET,CHI,L 14-19,False,True,15,83,0,0,0,20.0,matthew stafford
11,23,2010,2010-10-31,8,DET,WAS,W 37-25,True,True,45,212,4,0,0,31.0,matthew stafford
12,24,2010,2010-11-07,9,DET,NYJ,L 20-23,True,True,36,240,2,11,1,6.0,matthew stafford
13,33,2011,2011-09-11,1,DET,TAM,W 27-20,False,True,33,305,3,0,0,21.0,matthew stafford
14,34,2011,2011-09-18,2,DET,KAN,W 48-3,True,True,39,294,4,1,0,6.0,matthew stafford
15,35,2011,2011-09-25,3,DET,MIN,W 26-23,False,True,46,378,2,-1,0,26.0,matthew stafford
16,36,2011,2011-10-02,4,DET,DAL,W 34-30,False,True,43,240,2,-1,0,23.0,matthew stafford
17,37,2011,2011-10-10,5,DET,CHI,W 24-13,True,True,26,219,2,1,0,28.0,matthew stafford
18,38,2011,2011-10-16,6,DET,SFO,L 19-25,True,True,50,293,2,9,0,16.0,matthew stafford
19,39,2011,2011-10-23,7,DET,ATL,L 16-23,True,True,32,183,1,0,0,20.0,matthew stafford
20,40,2011,2011-10-30,8,DET,DEN,W 45-10,False,True,30,267,3,21,0,18.0,matthew stafford
21,41,2011,2011-11-13,10,DET,CHI,L 13-37,False,True,63,329,1,1,0,28.0,matthew stafford
22,42,2011,2011-11-20,11,DET,CAR,W 49-35,True,True,36,335,5,2,0,24.0,matthew stafford
23,43,2011,2011-11-24,12,DET,GNB,L 15-27,True,True,45,276,1,31,0,32.0,matthew stafford
24,44,2011,2011-12-04,13,DET,NOR,L 17-31,False,True,44,408,1,0,0,30.0,matthew stafford
25,45,2011,2011-12-11,14,DET,MIN,W 34-28,True,True,29,227,2,4,0,26.0,matthew stafford
26,46,2011,2011-12-18,15,DET,OAK,W 28-27,False,True,52,391,4,5,0,27.0,matthew stafford
27,47,2011,2011-12-24,16,DET,SDG,W 38-10,True,True,36,373,3,5,0,13.0,matthew stafford
28,48,2011,2012-01-01,17,DET,GNB,L 41-45,False,True,59,520,5,0,0,32.0,matthew stafford
29,49,2012,2012-09-09,1,DET,STL,W 27-23,True,True,48,355,1,0,0,15.0,matthew stafford
30,50,2012,2012-09-16,2,DET,SFO,L 19-27,False,True,32,230,1,10,0,4.0,matthew stafford
31,51,2012,2012-09-23,3,DET,TEN,L 41-44,False,True,42,278,1,12,0,26.0,matthew stafford
32,52,2012,2012-09-30,4,DET,MIN,L 13-20,True,True,51,319,0,14,1,24.0,matthew stafford
33,53,2012,2012-10-14,6,DET,PHI,W 26-23,False,True,45,311,1,7,1,9.0,matthew stafford
34,54,2012,2012-10-22,7,DET,CHI,L 7-13,False,True,46,263,1,21,0,8.0,matthew stafford
35,55,2012,2012-10-28,8,DET,SEA,W 28-24,True,True,49,352,3,12,1,6.0,matthew stafford
36,56,2012,2012-11-04,9,DET,JAX,W 31-14,False,True,33,285,0,-2,0,22.0,matthew stafford
37,57,2012,2012-11-11,10,DET,MIN,L 24-34,False,True,42,329,3,13,0,24.0,matthew stafford
38,58,2012,2012-11-18,11,DET,GNB,L 20-24,True,True,39,266,1,12,0,11.0,matthew stafford
39,59,2012,2012-11-22,12,DET,HOU,L 31-34,True,True,61,441,2,7,0,16.0,matthew stafford
40,60,2012,2012-12-02,13,DET,IND,L 33-35,True,True,46,313,2,0,0,21.0,matthew stafford
