,Time,Year,Date,Week,Tm,Opp,Result,Home,Started,Att,PassYds,PassTD,RushYds,RushTD,def_rk,name
0,16,2017,2017-12-31,17,KAN,DEN,W 27-24,False,True,35,284,0,10,0,4.0,patrick mahomes
1,17,2018,2018-09-09,1,KAN,LAC,W 38-28,False,True,27,256,4,21,0,9.0,patrick mahomes
2,18,2018,2018-09-16,2,KAN,PIT,W 42-37,False,True,28,326,6,18,0,10.0,patrick mahomes
3,19,2018,2018-09-23,3,KAN,SFO,W 38-27,True,True,38,314,3,7,0,11.0,patrick mahomes
4,20,2018,2018-10-01,4,KAN,DEN,W 27-23,False,True,45,304,1,7,1,20.0,patrick mahomes
5,21,2018,2018-10-07,5,KAN,JAX,W 30-14,True,True,38,313,0,13,1,2.0,patrick mahomes
6,22,2018,2018-10-14,6,KAN,NWE,L 40-43,False,True,36,352,4,9,0,22.0,patrick mahomes
7,23,2018,2018-10-21,7,KAN,CIN,W 45-10,True,True,39,358,4,45,0,32.0,patrick mahomes
8,24,2018,2018-10-28,8,KAN,DEN,W 30-23,True,True,34,303,4,-1,0,20.0,patrick mahomes
9,25,2018,2018-11-04,9,KAN,CLE,W 37-21,False,True,32,375,3,18,0,25.0,patrick mahomes
10,26,2018,2018-11-11,10,KAN,ARI,W 26-14,True,True,28,249,2,21,0,4.0,patrick mahomes
11,27,2018,2018-11-19,11,KAN,LAR,L 51-54,False,True,46,478,6,28,0,14.0,patrick mahomes
12,28,2018,2018-12-02,13,KAN,OAK,W 40-33,False,True,38,295,4,52,0,19.0,patrick mahomes
13,29,2018,2018-12-09,14,KAN,BAL,W 27-24,True,True,53,377,2,-3,0,5.0,patrick mahomes
14,30,2018,2018-12-13,15,KAN,LAC,L 28-29,True,True,34,243,2,3,0,9.0,patrick mahomes
15,31,2018,2018-12-23,16,KAN,SEA,L 31-38,False,True,40,273,3,33,0,17.0,patrick mahomes
16,32,2018,2018-12-30,17,KAN,OAK,W 35-3,True,True,24,281,2,1,0,19.0,patrick mahomes
17,33,2019,2019-09-08,1,KAN,JAX,W 40-26,False,True,33,378,3,2,0,16.0,patrick mahomes
18,34,2019,2019-09-15,2,KAN,OAK,W 28-10,False,True,44,443,4,-1,0,25.0,patrick mahomes
19,35,2019,2019-09-22,3,KAN,BAL,W 33-28,True,True,37,374,3,9,0,6.0,patrick mahomes
20,36,2019,2019-09-29,4,KAN,DET,W 34-30,False,True,42,315,0,54,0,32.0,patrick mahomes
21,37,2019,2019-10-06,5,KAN,IND,L 13-19,True,True,39,321,1,17,0,23.0,patrick mahomes
