Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,22.111,BUF,@,BAL,L 3-47,,6,15,40.00,74,0,0,56.0,3,16,4.93,4.93,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,50%,0,0%,0,0%,
2,2018,2018-09-16,2,2,22.118,BUF,,LAC,L 20-31,*,18,33,54.55,245,1,2,63.3,5,36,7.42,5.30,8,32,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,0,0%,
3,2018,2018-09-23,3,3,22.125,BUF,@,MIN,W 27-6,*,15,22,68.18,196,1,0,111.2,3,32,8.91,9.82,10,39,3.90,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,0,0,3,0,0,2,-14,0,67,100%,0,0%,0,0%,
4,2018,2018-09-30,4,4,22.132,BUF,@,GNB,L 0-22,*,16,33,48.48,151,0,2,36.3,7,64,4.58,1.85,5,19,3.80,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,58,100%,0,0%,0,0%,
5,2018,2018-10-07,5,5,22.139,BUF,,TEN,W 13-12,*,10,19,52.63,82,0,1,42.0,1,3,4.32,1.95,4,19,4.75,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,0,0%,
6,2018,2018-10-14,6,6,22.146,BUF,@,HOU,L 13-20,*,10,17,58.82,84,0,0,71.7,2,16,4.94,4.94,4,20,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,61%,0,0%,0,0%,
11,2018,2018-11-25,11,12,22.188,BUF,,JAX,W 24-21,*,8,19,42.11,160,1,0,89.8,0,0,8.42,9.47,13,99,7.62,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,58,100%,0,0%,0,0%,
12,2018,2018-12-02,12,13,22.195,BUF,@,MIA,L 17-21,*,18,33,54.55,231,2,2,71.7,2,14,7.00,5.48,9,135,15.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,72,100%,0,0%,0,0%,
13,2018,2018-12-09,13,14,22.202,BUF,,NYJ,L 23-27,*,18,36,50.00,206,0,2,44.4,3,14,5.72,3.22,9,101,11.22,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,76,100%,0,0%,0,0%,
14,2018,2018-12-16,14,15,22.209,BUF,,DET,W 14-13,*,13,26,50.00,204,1,0,89.3,1,9,7.85,8.62,9,16,1.78,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,68,100%,0,0%,0,0%,
15,2018,2018-12-23,15,16,22.216,BUF,@,NWE,L 12-24,*,20,41,48.78,217,1,2,52.6,0,0,5.29,3.59,5,30,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,
16,2018,2018-12-30,16,17,22.223,BUF,,MIA,W 42-17,*,17,26,65.38,224,3,1,114.9,1,9,8.62,9.19,9,95,10.56,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,0,0%,
17,2019,2019-09-08,1,1,23.110,BUF,@,NYJ,W 17-16,*,24,37,64.86,254,1,2,71.2,1,12,6.86,4.97,10,38,3.80,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,2,2,0,0,-1,0,66,100%,0,0%,0,0%,
18,2019,2019-09-15,2,2,23.117,BUF,@,NYG,W 28-14,*,19,30,63.33,253,1,0,101.1,3,16,8.43,9.10,7,21,3.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
19,2019,2019-09-22,3,3,23.124,BUF,,CIN,W 21-17,*,23,36,63.89,243,1,1,81.1,1,2,6.75,6.06,9,46,5.11,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,0,0,1,0,0,76,99%,0,0%,0,0%,
20,2019,2019-09-29,4,4,23.131,BUF,,NWE,L 10-16,*,13,28,46.43,153,0,3,24.0,4,31,5.46,0.64,5,26,5.20,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,58,73%,0,0%,0,0%,
21,2019,2019-10-06,5,5,23.138,BUF,@,TEN,W 14-7,*,23,32,71.88,219,2,1,98.3,4,15,6.84,6.69,10,27,2.70,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
22,2019,2019-10-20,6,7,23.152,BUF,,MIA,W 31-21,*,16,26,61.54,202,2,0,111.4,2,14,7.77,9.31,4,32,8.00,0,0,0,0,,0,0.0%,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
