Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2009,2009-09-13,1,1,21.218,DET,@,NOR,L 27-45,*,16,37,43.24,205,0,3,27.4,1,7,5.54,1.89,2,0,0.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,
2,2009,2009-09-20,2,2,21.225,DET,,MIN,L 13-27,*,18,30,60.00,152,1,2,56.5,2,16,5.07,2.73,1,7,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
3,2009,2009-09-27,3,3,21.232,DET,,WAS,W 19-14,*,21,36,58.33,241,1,0,87.8,2,14,6.69,7.25,2,23,11.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,
4,2009,2009-10-04,4,4,21.239,DET,@,CHI,L 24-48,*,24,36,66.67,296,1,1,89.6,5,42,8.22,7.53,2,20,10.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,
7,2009,2009-11-01,7,8,21.267,DET,,STL,L 10-17,*,14,33,42.42,168,0,1,46.0,2,6,5.09,3.73,1,4,4.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,
8,2009,2009-11-08,8,9,21.274,DET,@,SEA,L 20-32,*,22,42,52.38,203,2,5,42.2,2,17,4.83,0.43,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,
9,2009,2009-11-15,9,10,21.281,DET,@,MIN,L 10-27,*,29,51,56.86,224,1,0,74.3,3,20,4.39,4.78,4,28,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,
10,2009,2009-11-22,10,11,21.288,DET,,CLE,W 38-37,*,26,43,60.47,422,5,2,112.7,2,6,9.81,10.05,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,
11,2009,2009-11-26,11,12,21.292,DET,,GNB,L 12-34,*,20,43,46.51,213,1,4,30.5,2,14,4.95,1.23,3,21,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,
12,2009,2009-12-06,12,13,21.302,DET,@,CIN,L 13-23,*,11,26,42.31,143,1,2,41.0,3,27,5.50,2.81,3,-2,-0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,
