Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
5,2022,2022-10-09,5,5,22.286,SFO,@,CAR,W 37-15,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,
7,2022,2022-10-23,7,7,22.300,SFO,,KAN,L 23-44,,4,9,44.44,66,0,1,30.1,0,0,7.33,2.33,1,1,1.00,0,0,0,0,0,0,0,0,0,10,13%,0,0%,0,0%,
10,2022,2022-11-21,10,11,22.329,SFO,@,ARI,W 38-10,,0,0,,0,0,0,,0,0,,,3,3,1.00,0,0,0,0,0,0,0,0,0,7,12%,0,0%,0,0%,
12,2022,2022-12-04,12,13,22.342,SFO,,MIA,W 33-17,,25,37,67.57,210,2,1,88.8,3,26,5.68,5.54,4,-1,-0.25,0,0,0,0,0,0,0,0,0,76,90%,0,0%,0,0%,
13,2022,2022-12-11,13,14,22.349,SFO,,TAM,W 35-7,*,16,21,76.19,185,2,0,134.0,0,0,8.81,10.71,2,3,1.50,1,1,6,0,0,0,0,0,0,52,83%,0,0%,0,0%,
14,2022,2022-12-15,14,15,22.353,SFO,@,SEA,W 21-13,*,17,26,65.38,217,2,0,117.0,1,6,8.35,9.88,4,-2,-0.50,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
15,2022,2022-12-24,15,16,22.362,SFO,,WAS,W 37-20,*,15,22,68.18,234,2,1,114.6,3,16,10.64,10.41,1,6,6.00,0,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,
16,2022,2023-01-01,16,17,23.005,SFO,@,LVR,W 37-34,*,22,35,62.86,284,2,1,95.4,0,0,8.11,7.97,2,-3,-1.50,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
17,2022,2023-01-08,17,18,23.012,SFO,,ARI,W 38-13,*,15,20,75.00,178,3,0,141.2,4,36,8.90,11.90,4,7,1.75,0,0,0,0,0,0,0,0,0,51,82%,0,0%,0,0%,
18,2023,2023-09-10,1,1,23.257,SFO,@,PIT,W 30-7,*,19,29,65.52,220,2,0,111.3,3,17,7.59,8.97,3,20,6.67,0,0,0,2,1,0,1,0,0,66,97%,0,0%,0,0%,
19,2023,2023-09-17,2,2,23.264,SFO,@,LAR,W 30-23,*,17,25,68.00,206,0,0,93.1,1,0,8.24,8.24,3,5,1.67,1,1,6,1,0,0,1,0,0,57,100%,0,0%,0,0%,
20,2023,2023-09-21,3,3,23.268,SFO,,NYG,W 30-12,*,25,37,67.57,310,2,0,111.3,2,10,8.38,9.46,4,-1,-0.25,0,0,0,1,0,0,1,-1,0,79,95%,0,0%,0,0%,
21,2023,2023-10-01,4,4,23.278,SFO,,ARI,W 35-16,*,20,21,95.24,283,1,0,134.6,1,12,13.48,14.43,2,0,0.00,1,1,6,0,0,0,0,0,0,54,98%,0,0%,0,0%,
22,2023,2023-10-08,5,5,23.285,SFO,,DAL,W 42-10,*,17,24,70.83,252,4,0,144.4,1,2,10.50,13.83,0,0,,0,0,0,0,0,0,0,0,0,60,85%,0,0%,0,0%,
23,2023,2023-10-15,6,6,23.292,SFO,@,CLE,L 17-19,*,12,27,44.44,125,1,1,55.3,3,18,4.63,3.70,3,7,2.33,0,0,0,1,0,0,1,0,0,62,100%,0,0%,0,0%,
24,2023,2023-10-23,7,7,23.300,SFO,@,MIN,L 17-22,*,21,30,70.00,272,1,2,81.5,1,12,9.07,6.73,5,19,3.80,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
25,2023,2023-10-29,8,8,23.306,SFO,,CIN,L 17-31,*,22,31,70.97,365,1,2,94.2,2,18,11.77,9.52,6,57,9.50,0,0,0,1,1,0,0,0,0,59,100%,0,0%,0,0%,
26,2023,2023-11-12,9,10,23.320,SFO,@,JAX,W 34-3,*,19,26,73.08,296,3,0,148.9,2,9,11.38,13.69,0,0,,0,0,0,0,0,0,0,0,0,49,79%,0,0%,0,0%,
27,2023,2023-11-19,10,11,23.327,SFO,,TAM,W 27-14,*,21,25,84.00,333,3,0,158.3,4,28,13.32,15.72,4,14,3.50,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
28,2023,2023-11-23,11,12,23.331,SFO,@,SEA,W 31-13,*,21,30,70.00,209,1,1,86.7,1,1,6.97,6.13,3,1,0.33,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
29,2023,2023-12-03,12,13,23.341,SFO,@,PHI,W 42-19,*,19,27,70.37,314,4,0,148.8,2,4,11.63,14.59,2,9,4.50,0,0,0,0,0,0,0,0,0,55,93%,0,0%,0,0%,
30,2023,2023-12-10,13,14,23.348,SFO,,SEA,W 28-16,*,19,27,70.37,368,2,1,122.1,3,14,13.63,13.44,2,7,3.50,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,
31,2023,2023-12-17,14,15,23.355,SFO,@,ARI,W 45-29,*,16,25,64.00,242,4,0,135.3,0,0,9.68,12.88,0,0,,0,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,
32,2023,2023-12-25,15,16,23.363,SFO,,BAL,L 19-33,*,18,32,56.25,255,0,4,42.6,2,8,7.97,2.34,1,2,2.00,0,0,0,0,0,0,0,0,0,51,73%,0,0%,0,0%,
33,2023,2023-12-31,16,17,24.004,SFO,@,WAS,W 27-10,*,22,28,78.57,230,2,0,124.7,0,0,8.21,9.64,1,4,4.00,0,0,0,0,0,0,0,0,0,65,93%,0,0%,0,0%,
35,2024,2024-09-09,1,1,24.257,SFO,,NYJ,W 32-19,*,19,29,65.52,231,0,0,89.9,2,6,7.97,7.97,1,11,11.00,0,0,0,0,0,0,0,0,0,71,99%,0,0%,0,0%,
36,2024,2024-09-15,2,2,24.263,SFO,@,MIN,L 17-23,*,28,36,77.78,319,1,1,101.3,6,25,8.86,8.17,2,12,6.00,0,0,0,1,1,0,0,0,0,70,100%,0,0%,0,0%,
37,2024,2024-09-22,3,3,24.270,SFO,@,LAR,L 24-27,*,22,30,73.33,292,3,0,137.1,1,4,9.73,11.73,10,41,4.10,0,0,0,1,1,0,0,0,0,71,100%,0,0%,0,0%,
38,2024,2024-09-29,4,4,24.277,SFO,,NWE,W 30-13,*,15,27,55.56,288,1,1,89.7,1,5,10.67,9.74,5,11,2.20,0,0,0,2,0,0,0,-11,0,63,100%,0,0%,0,0%,
39,2024,2024-10-06,5,5,24.284,SFO,,ARI,L 23-24,*,19,35,54.29,244,1,2,62.1,2,13,6.97,4.97,4,33,8.25,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
40,2024,2024-10-10,6,6,24.288,SFO,@,SEA,W 36-24,*,18,28,64.29,255,3,0,129.3,0,0,9.11,11.25,4,19,4.75,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
