Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,21.342,HOU,@,BAL,L 9-25,*,28,44,63.64,242,0,0,78.0,5,46,5.50,5.50,4,20,5.00,0,1,1,0,0.00,0,100.0%,0.00,,0,0,1,1,0,0,0,0,77,100%,0,0%,0,0%,
2,2023,2023-09-17,2,2,21.349,HOU,,IND,L 20-31,*,30,47,63.83,384,2,0,103.5,6,47,8.17,9.02,3,1,0.33,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,-9,0,84,100%,0,0%,0,0%,
3,2023,2023-09-24,3,3,21.356,HOU,@,JAX,W 37-17,*,20,30,66.67,280,2,0,118.7,0,0,9.33,10.67,3,14,4.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
4,2023,2023-10-01,4,4,21.363,HOU,,PIT,W 30-6,*,16,30,53.33,306,2,0,111.2,0,0,10.20,11.53,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
5,2023,2023-10-08,5,5,22.005,HOU,@,ATL,L 19-21,*,20,35,57.14,249,1,0,88.9,0,0,7.11,7.69,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
6,2023,2023-10-15,6,6,22.012,HOU,,NOR,W 20-13,*,13,27,48.15,199,2,1,82.2,2,22,7.37,7.19,3,2,0.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
7,2023,2023-10-29,7,8,22.026,HOU,@,CAR,L 13-15,*,16,24,66.67,140,0,0,81.9,2,21,5.83,5.83,2,13,6.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,58,100%,0,0%,0,0%,
8,2023,2023-11-05,8,9,22.033,HOU,,TAM,W 39-37,*,30,42,71.43,470,5,0,147.8,3,27,11.19,13.57,0,10,,0,0,0,0,,0,0.0%,,1,0,2,1,0,0,0,0,0,72,100%,0,0%,0,0%,
9,2023,2023-11-12,9,10,22.040,HOU,@,CIN,W 30-27,*,23,39,58.97,356,1,1,87.1,1,0,9.13,8.49,2,8,4.00,1,0,0,0,,0,0.0%,,,1,6,2,2,0,0,-1,0,75,100%,0,0%,0,0%,
10,2023,2023-11-19,10,11,22.047,HOU,,ARI,W 21-16,*,27,37,72.97,336,2,3,85.0,3,29,9.08,6.51,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,66,99%,0,0%,0,0%,
11,2023,2023-11-26,11,12,22.054,HOU,,JAX,L 21-24,*,26,36,72.22,304,2,0,116.0,4,43,8.44,9.56,6,47,7.83,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,60,100%,0,0%,0,0%,
12,2023,2023-12-03,12,13,22.061,HOU,,DEN,W 22-17,*,16,27,59.26,274,1,0,106.1,5,28,10.15,10.89,6,11,1.83,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,66,97%,0,0%,0,0%,
13,2023,2023-12-10,13,14,22.068,HOU,@,NYJ,L 6-30,*,10,23,43.48,91,0,0,54.8,4,38,3.96,3.96,0,0,,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,48,86%,0,0%,0,0%,
16,2023,2023-12-31,16,17,22.089,HOU,,TEN,W 26-3,*,24,32,75.00,213,1,0,102.7,1,12,6.66,7.28,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,58,95%,0,0%,0,0%,
17,2023,2024-01-06,17,18,22.095,HOU,@,IND,W 23-19,*,20,26,76.92,264,2,0,134.1,2,18,10.15,11.69,3,20,6.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
18,2024,2024-09-08,1,1,22.341,HOU,@,IND,W 29-27,*,24,32,75.00,234,2,0,115.9,4,30,7.31,8.56,4,13,3.25,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,
19,2024,2024-09-15,2,2,22.348,HOU,,CHI,W 19-13,*,23,36,63.89,260,1,0,94.7,3,25,7.22,7.78,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
20,2024,2024-09-22,3,3,22.355,HOU,@,MIN,L 7-34,*,20,31,64.52,215,1,2,68.6,4,42,6.94,4.68,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,54,81%,0,0%,0,0%,
21,2024,2024-09-29,4,4,22.362,HOU,,JAX,W 24-20,*,27,40,67.50,345,2,0,110.9,2,11,8.63,9.63,3,17,5.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
22,2024,2024-10-06,5,5,23.003,HOU,,BUF,W 23-20,*,28,38,73.68,331,1,1,97.6,1,0,8.71,8.05,3,27,9.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,68,100%,0,0%,0,0%,
