Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,23.115,JAX,,KAN,L 26-40,,22,25,88.00,275,2,1,122.5,1,3,11.00,10.80,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,81%,0,0%,0,0%,
2,2019,2019-09-15,2,2,23.122,JAX,@,HOU,L 12-13,*,23,33,69.70,213,1,0,97.2,4,35,6.45,7.06,6,56,9.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,3,1,0,0,0,0,64,100%,0,0%,0,0%,
3,2019,2019-09-19,3,3,23.126,JAX,,TEN,W 20-7,*,20,30,66.67,204,2,0,108.2,0,0,6.80,8.13,4,18,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,
4,2019,2019-09-29,4,4,23.136,JAX,@,DEN,W 26-24,*,19,33,57.58,213,2,0,97.2,5,27,6.45,7.67,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,85,100%,0,0%,0,0%,
5,2019,2019-10-06,5,5,23.143,JAX,@,CAR,L 27-34,*,26,44,59.09,374,2,0,101.9,2,16,8.50,9.41,7,42,6.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,3,3,0,0,0,0,83,100%,0,0%,0,0%,
6,2019,2019-10-13,6,6,23.150,JAX,,NOR,L 6-13,*,14,29,48.28,163,0,1,51.4,2,12,5.62,4.07,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
7,2019,2019-10-20,7,7,23.157,JAX,@,CIN,W 27-17,*,15,32,46.88,255,1,0,84.8,2,11,7.97,8.59,9,48,5.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,0,-5,0,80,100%,0,0%,0,0%,
8,2019,2019-10-27,8,8,23.164,JAX,,NYJ,W 29-15,*,22,34,64.71,279,3,0,119.6,2,1,8.21,9.97,8,28,3.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,
9,2019,2019-11-03,9,9,23.171,JAX,,HOU,L 3-26,*,27,47,57.45,309,0,2,59.6,3,8,6.57,4.66,4,34,8.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,66,100%,0,0%,0,0%,
12,2019,2019-12-01,12,13,23.199,JAX,,TAM,L 11-28,,16,27,59.26,147,1,1,71.1,2,24,5.44,4.52,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,41,60%,0,0%,0,0%,
13,2019,2019-12-08,13,14,23.206,JAX,,LAC,L 10-45,*,24,37,64.86,162,1,0,83.4,2,7,4.38,4.92,6,31,5.17,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
14,2019,2019-12-15,14,15,23.213,JAX,@,OAK,W 20-16,*,17,29,58.62,201,2,0,102.8,2,16,6.93,8.31,5,27,5.40,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
15,2019,2019-12-22,15,16,23.220,JAX,@,ATL,L 12-24,*,13,31,41.94,181,1,0,72.1,3,15,5.84,6.48,7,36,5.14,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
16,2019,2019-12-29,16,17,23.227,JAX,,IND,W 38-20,*,27,39,69.23,295,3,1,106.2,3,9,7.56,7.95,5,7,1.40,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,69,100%,0,0%,0,0%,
17,2020,2020-09-13,1,1,24.120,JAX,,IND,W 27-20,*,19,20,95.00,173,3,0,142.3,4,23,8.65,11.65,5,19,3.80,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,100%,0,0%,0,0%,
18,2020,2020-09-20,2,2,24.127,JAX,@,TEN,L 30-33,*,30,45,66.67,339,3,2,92.7,2,24,7.53,6.87,4,19,4.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,1,1,0,75,99%,0,0%,0,0%,
19,2020,2020-09-24,3,3,24.131,JAX,,MIA,L 13-31,*,30,42,71.43,275,0,1,79.0,4,29,6.55,5.48,3,22,7.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,
20,2020,2020-10-04,4,4,24.141,JAX,@,CIN,L 25-33,*,27,40,67.50,351,2,1,101.1,3,11,8.78,8.65,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
21,2020,2020-10-11,5,5,24.148,JAX,@,HOU,L 14-30,*,31,49,63.27,301,2,0,94.0,3,8,6.14,6.96,4,18,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,75,100%,0,0%,0,0%,
22,2020,2020-10-18,6,6,24.155,JAX,,DET,L 16-34,*,25,44,56.82,243,1,1,70.5,1,12,5.52,4.95,3,14,4.67,1,1,1,0,0.00,0,100.0%,0.00,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,64,100%,0,0%,0,0%,
23,2020,2020-10-25,7,7,24.162,JAX,@,LAC,L 29-39,*,14,27,51.85,173,2,0,96.7,5,19,6.41,7.89,4,21,5.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
29,2020,2020-12-13,13,14,24.211,JAX,,TEN,L 10-31,,18,31,58.06,178,1,0,85.1,0,0,5.74,6.39,2,22,11.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,55%,0,0%,0,0%,
30,2020,2020-12-20,14,15,24.218,JAX,@,BAL,L 14-40,*,22,29,75.86,226,2,0,120.8,5,21,7.79,9.17,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,58,100%,0,0%,0,0%,
40,2021,2021-10-31,8,8,25.168,PHI,@,DET,W 44-6,,2,2,100.00,11,0,0,89.6,0,0,5.50,5.50,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,22%,0,0%,0,0%,
45,2021,2021-12-05,13,13,25.203,PHI,@,NYJ,W 33-18,*,20,25,80.00,242,2,0,133.7,2,9,9.68,11.28,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,71,100%,0,0%,0,0%,
47,2021,2021-12-26,15,16,25.224,PHI,,NYG,W 34-10,,,,,,,,,,,,,,,,,,,,,,0.0%,,0,0,,,,,,,,,,,,,7,11%,0,0%,0,0%,
49,2021,2022-01-08,17,18,25.237,PHI,,DAL,L 26-51,*,19,33,57.58,186,2,1,81.1,3,22,5.64,5.48,5,10,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,
56,2022,2022-10-30,7,8,26.167,PHI,,PIT,W 35-13,,1,2,50.00,23,0,0,91.7,0,0,11.50,11.50,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,19%,0,0%,0,0%,
61,2022,2022-12-04,12,13,26.202,PHI,,TEN,W 35-10,,1,2,50.00,11,0,0,66.7,0,0,5.50,5.50,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,12%,0,0%,0,0%,
62,2022,2022-12-11,13,14,26.209,PHI,@,NYG,W 48-22,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,7%,0,0%,0,0%,
64,2022,2022-12-24,15,16,26.222,PHI,@,DAL,L 34-40,*,24,40,60.00,355,2,2,84.9,0,0,8.88,7.63,4,5,1.25,1,0,0,0,,0,0.0%,,1,6,0.0,1,0,1,0,0,2,1,0,1,-2,0,71,100%,0,0%,0,0%,
65,2022,2023-01-01,16,17,26.230,PHI,,NOR,L 10-20,*,18,32,56.25,274,1,1,82.0,6,28,8.56,7.78,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,2,0,0,2,22,0,55,100%,0,0%,0,0%,
67,2023,2023-09-10,1,1,27.117,IND,,JAX,L 21-31,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,
68,2023,2023-09-17,2,2,27.124,IND,@,HOU,W 31-20,,19,23,82.61,171,1,0,112.1,0,0,7.43,8.30,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,68%,0,0%,0,0%,
69,2023,2023-09-24,3,3,27.131,IND,@,BAL,W 22-19,*,27,44,61.36,227,1,0,82.3,5,39,5.16,5.61,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,84,100%,0,0%,0,0%,
70,2023,2023-10-01,4,4,27.138,IND,,LAR,L 23-29,,,,,,,,,,,,,,,,,,,,,,0.0%,,0,0,,,,,,,,,,,,,0,0%,0,0%,0,0%,
71,2023,2023-10-08,5,5,27.145,IND,,TEN,W 23-16,,11,14,78.57,155,0,0,112.8,0,0,11.07,11.07,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,67%,0,0%,0,0%,
72,2023,2023-10-15,6,6,27.152,IND,@,JAX,L 20-37,*,33,55,60.00,329,1,3,60.3,3,19,5.98,3.89,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,78,100%,0,0%,0,0%,
73,2023,2023-10-22,7,7,27.159,IND,,CLE,L 38-39,*,15,23,65.22,305,2,1,119.4,4,17,13.26,13.04,3,29,9.67,2,0,0,0,,0,0.0%,,2,12,0.0,0,0,0,0,0,3,3,0,0,0,0,70,100%,0,0%,0,0%,
74,2023,2023-10-29,8,8,27.166,IND,,NOR,L 27-38,*,23,41,56.10,213,2,1,76.6,2,6,5.20,5.07,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
75,2023,2023-11-05,9,9,27.173,IND,@,CAR,W 27-13,*,17,26,65.38,127,1,0,89.7,1,7,4.88,5.65,5,5,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
76,2023,2023-11-12,10,10,27.180,IND,@,NWE,W 10-6,*,18,28,64.29,194,0,1,69.6,0,0,6.93,5.32,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
77,2023,2023-11-26,11,12,27.194,IND,,TAM,W 27-20,*,24,41,58.54,251,0,1,66.2,2,12,6.12,5.02,3,6,2.00,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,0,1,0,0,1,5,0,73,100%,0,0%,0,0%,
78,2023,2023-12-03,12,13,27.201,IND,@,TEN,W 31-28,*,26,42,61.90,312,2,0,100.5,3,12,7.43,8.38,3,2,0.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,71,100%,0,0%,0,0%,
79,2023,2023-12-10,13,14,27.208,IND,@,CIN,L 14-34,*,26,39,66.67,240,1,1,81.1,3,14,6.15,5.51,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,95%,0,0%,0,0%,
80,2023,2023-12-16,14,15,27.214,IND,,PIT,W 30-13,*,18,28,64.29,215,3,0,123.4,3,13,7.68,9.82,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
81,2023,2023-12-24,15,16,27.222,IND,@,ATL,L 10-29,*,20,37,54.05,201,0,1,58.5,6,31,5.43,4.22,4,31,7.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
82,2023,2023-12-31,16,17,27.229,IND,,LVR,W 23-20,*,15,23,65.22,224,1,0,111.5,1,9,9.74,10.61,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
83,2023,2024-01-06,17,18,27.235,IND,,HOU,L 19-23,*,13,24,54.17,141,0,0,71.7,1,8,5.88,5.88,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
84,2024,2024-09-08,1,1,28.115,LVR,@,LAC,L 10-22,*,25,33,75.76,257,1,1,95.1,4,32,7.79,7.03,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,
85,2024,2024-09-15,2,2,28.122,LVR,@,BAL,W 26-23,*,30,38,78.95,276,1,1,94.7,5,43,7.26,6.61,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,63,100%,0,0%,0,0%,
86,2024,2024-09-22,3,3,28.129,LVR,,CAR,L 22-36,*,18,28,64.29,214,1,1,84.5,2,8,7.64,6.75,3,14,4.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,80%,0,0%,0,0%,
87,2024,2024-09-29,4,4,28.136,LVR,,CLE,W 20-16,*,14,24,58.33,130,0,0,73.3,2,14,5.42,5.42,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
88,2024,2024-10-06,5,5,28.143,LVR,@,DEN,L 18-34,*,12,17,70.59,137,1,2,74.5,2,9,8.06,3.94,2,22,11.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,63%,0,0%,0,0%,
