Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,23.278,CIN,,LAC,L 13-16,*,23,36,63.89,193,0,1,66.1,3,20,5.36,4.11,8,46,5.75,1,1,6,0.0,0,0,0,0,0,1,0,0,0,-5,0,68,100%,0,0%,0,0%,
2,2020,2020-09-17,2,2,23.282,CIN,@,CLE,L 30-35,*,37,61,60.66,316,3,0,90.6,3,31,5.18,6.16,7,19,2.71,0,0,0,0.0,0,0,0,0,0,2,1,0,1,-22,0,92,100%,0,0%,0,0%,
3,2020,2020-09-27,3,3,23.292,CIN,@,PHI,T 23-23,*,31,44,70.45,312,2,0,105.5,8,56,7.09,8.00,1,-1,-1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,99%,0,0%,0,0%,
4,2020,2020-10-04,4,4,23.299,CIN,,JAX,W 33-25,*,25,36,69.44,300,1,1,92.4,1,0,8.33,7.64,4,11,2.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
5,2020,2020-10-11,5,5,23.306,CIN,@,BAL,L 3-27,*,19,30,63.33,183,0,1,66.4,7,48,6.10,4.60,3,10,3.33,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,67,100%,0,0%,0,0%,
6,2020,2020-10-18,6,6,23.313,CIN,@,IND,L 27-31,*,25,39,64.10,313,0,1,78.3,2,13,8.03,6.87,3,2,0.67,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
7,2020,2020-10-25,7,7,23.320,CIN,,CLE,L 34-37,*,35,47,74.47,406,3,1,112.5,4,35,8.64,8.96,6,34,5.67,1,1,6,0.0,0,0,0,0,0,3,1,0,2,0,0,75,100%,0,0%,0,0%,
8,2020,2020-11-01,8,8,23.327,CIN,,TEN,W 31-20,*,26,37,70.27,249,2,0,106.7,0,0,6.73,7.81,3,9,3.00,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,73,100%,0,0%,0,0%,
9,2020,2020-11-15,9,10,23.341,CIN,@,PIT,L 10-36,*,21,40,52.50,213,1,0,76.4,4,28,5.33,5.83,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
10,2020,2020-11-22,10,11,23.348,CIN,@,WAS,L 9-20,*,22,34,64.71,203,1,0,90.7,0,0,5.97,6.56,2,12,6.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,50,74%,0,0%,0,0%,
17,2021,2021-09-12,1,1,24.276,CIN,,MIN,W 27-24,*,20,27,74.07,261,2,0,128.8,5,44,9.67,11.15,1,2,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
18,2021,2021-09-19,2,2,24.283,CIN,@,CHI,L 17-20,*,19,30,63.33,207,2,3,66.2,5,28,6.90,3.73,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
19,2021,2021-09-26,3,3,24.290,CIN,@,PIT,W 24-10,*,14,18,77.78,172,3,1,122.9,0,0,9.56,10.39,5,7,1.40,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,100%,0,0%,0,0%,
20,2021,2021-09-30,4,4,24.294,CIN,,JAX,W 24-21,*,25,32,78.13,348,2,0,132.8,1,6,10.88,12.13,3,4,1.33,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
21,2021,2021-10-10,5,5,24.304,CIN,,GNB,L 22-25,*,26,38,68.42,281,2,2,85.5,3,17,7.39,6.08,3,11,3.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
22,2021,2021-10-17,6,6,24.311,CIN,@,DET,W 34-11,*,19,29,65.52,271,3,1,115.7,2,22,9.34,9.86,5,20,4.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,82%,0,0%,0,0%,
23,2021,2021-10-24,7,7,24.318,CIN,@,BAL,W 41-17,*,23,38,60.53,416,3,1,113.5,1,7,10.95,11.34,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,89%,0,0%,0,0%,
24,2021,2021-10-31,8,8,24.325,CIN,@,NYJ,L 31-34,*,21,34,61.76,259,3,1,102.5,3,28,7.62,8.06,1,-1,-1.00,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,55,100%,0,0%,0,0%,
25,2021,2021-11-07,9,9,24.332,CIN,,CLE,L 16-41,*,28,40,70.00,282,0,2,69.0,5,25,7.05,4.80,2,1,0.50,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,69,92%,0,0%,0,0%,
26,2021,2021-11-21,10,11,24.346,CIN,@,LVR,W 32-13,*,20,29,68.97,148,1,0,92.3,3,19,5.10,5.79,3,11,3.67,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,
27,2021,2021-11-28,11,12,24.353,CIN,,PIT,W 41-10,*,20,24,83.33,190,1,1,96.2,2,18,7.92,6.88,1,8,8.00,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,85%,0,0%,0,0%,
28,2021,2021-12-05,12,13,24.360,CIN,,LAC,L 22-41,*,24,40,60.00,300,1,2,70.8,6,40,7.50,5.75,1,6,6.00,1,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,76,100%,0,0%,0,0%,
29,2021,2021-12-12,13,14,25.002,CIN,,SFO,L 23-26,*,25,34,73.53,348,2,0,125.6,5,37,10.24,11.41,2,3,1.50,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,67,100%,0,0%,0,0%,
