Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,22.191,CHI,@,LAR,L 14-34,,2,2,100.00,10,0,0,87.5,0,0,5.00,5.00,1,3,3.00,1,1,6,0,0,0,0,0,0,5,7%,0,0%,0,0%,
2,2021,2021-09-19,2,2,22.198,CHI,,CIN,W 20-17,,6,13,46.15,60,0,1,27.7,2,25,4.62,1.15,10,31,3.10,0,0,0,1,0,0,1,0,0,42,65%,0,0%,0,0%,
3,2021,2021-09-26,3,3,22.205,CHI,@,CLE,L 6-26,*,6,20,30.00,68,0,0,41.2,9,67,3.40,3.40,3,12,4.00,0,0,0,0,0,0,0,0,0,45,100%,0,0%,0,0%,
4,2021,2021-10-03,4,4,22.212,CHI,,DET,W 24-14,*,11,17,64.71,209,0,1,82.7,1,24,12.29,9.65,3,9,3.00,0,0,0,1,0,0,1,0,0,58,100%,0,0%,0,0%,
5,2021,2021-10-10,5,5,22.219,CHI,@,LVR,W 20-9,*,12,20,60.00,111,1,0,91.9,2,10,5.55,6.55,3,4,1.33,0,0,0,1,0,0,0,0,0,61,95%,0,0%,0,0%,
6,2021,2021-10-17,6,6,22.226,CHI,,GNB,L 14-24,*,16,27,59.26,174,1,1,75.2,4,37,6.44,5.52,6,43,7.17,0,0,0,0,0,0,0,-4,0,61,100%,0,0%,0,0%,
7,2021,2021-10-24,7,7,22.233,CHI,@,TAM,L 3-38,*,22,32,68.75,184,0,3,44.3,4,16,5.75,1.53,8,38,4.75,0,0,0,3,2,0,1,-2,0,66,100%,0,0%,0,0%,
8,2021,2021-10-31,8,8,22.240,CHI,,SFO,L 22-33,*,19,27,70.37,175,1,1,84.6,4,27,6.48,5.56,10,103,10.30,1,1,6,2,0,0,0,-5,0,70,100%,0,0%,0,0%,
9,2021,2021-11-08,9,9,22.248,CHI,@,PIT,L 27-29,*,17,29,58.62,291,1,1,89.9,3,13,10.03,9.17,8,45,5.63,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
10,2021,2021-11-21,10,11,22.261,CHI,,BAL,L 13-16,*,4,11,36.36,79,0,0,62.3,2,1,7.18,7.18,4,23,5.75,0,0,0,1,1,0,0,0,0,30,51%,0,0%,0,0%,
13,2021,2021-12-12,13,14,22.282,CHI,@,GNB,L 30-45,*,18,33,54.55,224,2,2,70.8,2,14,6.79,5.27,9,74,8.22,0,0,0,1,1,0,0,0,0,62,100%,0,0%,0,0%,
14,2021,2021-12-20,14,15,22.290,CHI,,MIN,L 9-17,*,26,39,66.67,285,1,0,96.6,3,30,7.31,7.82,7,35,5.00,0,0,0,2,1,0,1,0,0,73,100%,0,0%,0,0%,
