Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
2,2020,2020-09-20,2,2,22.194,LAC,,KAN,L 20-23,*,22,33,66.67,311,1,1,94.4,2,15,9.42,8.67,4,18,4.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,83,100%,0,0%,0,0%,
3,2020,2020-09-27,3,3,22.201,LAC,,CAR,L 16-21,*,35,49,71.43,330,1,1,88.0,2,11,6.73,6.22,3,15,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,0,-11,0,78,100%,0,0%,0,0%,
4,2020,2020-10-04,4,4,22.208,LAC,@,TAM,L 31-38,*,20,25,80.00,290,3,1,137.9,2,12,11.60,12.20,5,14,2.80,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
5,2020,2020-10-12,5,5,22.216,LAC,@,NOR,L 27-30,*,20,34,58.82,264,4,0,122.7,3,25,7.76,10.12,4,8,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,0,71,100%,0,0%,0,0%,
6,2020,2020-10-25,6,7,22.229,LAC,,JAX,W 39-29,*,27,43,62.79,347,3,0,111.3,1,2,8.07,9.47,9,66,7.33,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,79,98%,0,0%,0,0%,
7,2020,2020-11-01,7,8,22.236,LAC,@,DEN,L 30-31,*,29,43,67.44,278,3,2,89.1,2,3,6.47,5.77,3,21,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,87,100%,0,0%,0,0%,
8,2020,2020-11-08,8,9,22.243,LAC,,LVR,L 26-31,*,28,42,66.67,326,2,0,105.9,2,14,7.76,8.71,5,24,4.80,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,78,99%,0,0%,0,0%,
9,2020,2020-11-15,9,10,22.250,LAC,@,MIA,L 21-29,*,20,32,62.50,187,2,1,86.3,2,13,5.84,5.69,4,10,2.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,63,98%,0,0%,0,0%,
10,2020,2020-11-22,10,11,22.257,LAC,,NYJ,W 34-28,*,37,49,75.51,366,3,0,116.5,3,19,7.47,8.69,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%,
11,2020,2020-11-29,11,12,22.264,LAC,@,BUF,L 17-27,*,31,52,59.62,316,1,1,75.5,3,25,6.08,5.60,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,0,0,2,0,0,83,100%,0,0%,0,0%,
12,2020,2020-12-06,12,13,22.271,LAC,,NWE,L 0-45,*,26,53,49.06,209,0,2,43.7,3,21,3.94,2.25,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
13,2020,2020-12-13,13,14,22.278,LAC,,ATL,W 20-17,*,36,44,81.82,243,2,1,95.4,1,3,5.52,5.41,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
14,2020,2020-12-17,14,15,22.282,LAC,@,LVR,W 30-27,*,22,32,68.75,314,2,0,121.1,1,8,9.81,11.06,4,14,3.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,66,100%,0,0%,0,0%,
15,2020,2020-12-27,15,16,22.292,LAC,,DEN,W 19-16,*,21,33,63.64,253,1,0,97.2,2,26,7.67,8.27,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,57,100%,0,0%,0,0%,
16,2020,2021-01-03,16,17,22.299,LAC,@,KAN,W 38-21,*,22,31,70.97,302,3,0,134.1,3,21,9.74,11.68,6,9,1.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
17,2021,2021-09-12,1,1,23.186,LAC,@,WAS,W 20-16,*,31,47,65.96,337,1,1,85.2,2,3,7.17,6.64,4,-1,-0.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,81,100%,0,0%,0,0%,
18,2021,2021-09-19,2,2,23.193,LAC,,DAL,L 17-20,*,31,41,75.61,338,1,2,87.2,2,25,8.24,6.54,4,12,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
19,2021,2021-09-26,3,3,23.200,LAC,@,KAN,W 30-24,*,26,38,68.42,281,4,0,125.0,1,6,7.39,9.50,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
20,2021,2021-10-04,4,4,23.208,LAC,,LVR,W 28-14,*,25,38,65.79,222,3,0,107.6,2,10,5.84,7.42,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
21,2021,2021-10-10,5,5,23.214,LAC,,CLE,W 47-42,*,26,43,60.47,398,4,0,122.0,2,17,9.26,11.12,4,29,7.25,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
22,2021,2021-10-17,6,6,23.221,LAC,@,BAL,L 6-34,*,22,39,56.41,195,1,1,67.8,2,13,5.00,4.36,2,12,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
23,2021,2021-10-31,7,8,23.235,LAC,,NWE,L 24-27,*,18,35,51.43,223,2,2,66.7,3,17,6.37,4.94,2,9,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
24,2021,2021-11-07,8,9,23.242,LAC,@,PHI,W 27-24,*,32,38,84.21,356,2,0,123.2,0,0,9.37,10.42,5,14,2.80,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
