Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-10,1,1,21.097,NYJ,@,DET,W 48-17,*,16,21,76.19,198,2,1,116.8,2,18,9.43,9.19,6,-1,-0.17,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
2,2018,2018-09-16,2,2,21.103,NYJ,,MIA,L 12-20,*,25,41,60.98,334,1,2,74.6,3,14,8.15,6.44,2,1,0.50,0,0,0,1,0,0,0,-2,0,65,100%,0,0%,0,0%,
3,2018,2018-09-20,3,3,21.107,NYJ,@,CLE,L 17-21,*,15,31,48.39,169,0,2,38.2,2,8,5.45,2.55,0,0,,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
4,2018,2018-09-30,4,4,21.117,NYJ,@,JAX,L 12-31,*,17,34,50.00,167,1,0,74.0,3,23,4.91,5.50,2,8,4.00,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
5,2018,2018-10-07,5,5,21.124,NYJ,,DEN,W 34-16,*,10,22,45.45,198,3,1,98.1,1,9,9.00,9.68,3,5,1.67,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
6,2018,2018-10-14,6,6,21.131,NYJ,,IND,W 42-34,*,24,30,80.00,280,2,1,113.9,2,13,9.33,9.17,6,8,1.33,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
7,2018,2018-10-21,7,7,21.138,NYJ,,MIN,L 17-37,*,17,42,40.48,206,1,3,34.4,3,14,4.90,2.17,6,18,3.00,1,1,6,2,1,0,1,-8,0,71,100%,0,0%,0,0%,
8,2018,2018-10-28,8,8,21.145,NYJ,@,CHI,L 10-24,*,14,29,48.28,153,1,0,75.8,1,3,5.28,5.97,5,22,4.40,0,0,0,1,0,0,1,-1,0,54,100%,0,0%,0,0%,
9,2018,2018-11-04,9,9,21.152,NYJ,@,MIA,L 6-13,*,21,39,53.85,229,0,4,31.8,4,27,5.87,1.26,0,0,,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
13,2018,2018-12-09,13,14,21.187,NYJ,@,BUF,W 27-23,*,16,24,66.67,170,1,1,83.7,0,0,7.08,6.04,4,10,2.50,0,0,0,0,0,0,0,0,0,51,94%,0,0%,0,0%,
14,2018,2018-12-15,14,15,21.193,NYJ,,HOU,L 22-29,*,24,38,63.16,253,2,0,100.0,3,25,6.66,7.71,6,35,5.83,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
15,2018,2018-12-23,15,16,21.201,NYJ,,GNB,L 38-44,*,24,35,68.57,341,3,0,128.4,2,18,9.74,11.46,3,4,1.33,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
16,2018,2018-12-30,16,17,21.208,NYJ,@,NWE,L 3-38,*,16,28,57.14,167,0,0,74.6,4,32,5.96,5.96,1,28,28.00,0,0,0,1,1,0,0,0,0,56,100%,0,0%,0,0%,
17,2019,2019-09-08,1,1,22.095,NYJ,,BUF,L 16-17,*,28,41,68.29,175,1,0,84.9,4,20,4.27,4.76,1,0,0.00,0,0,0,1,0,0,0,-3,0,71,100%,0,0%,0,0%,
21,2019,2019-10-13,5,6,22.130,NYJ,,DAL,W 24-22,*,23,32,71.88,338,2,1,113.8,2,12,10.56,10.41,5,1,0.20,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
22,2019,2019-10-21,6,7,22.138,NYJ,,NWE,L 0-33,*,11,32,34.38,86,0,4,3.6,1,13,2.69,-2.94,2,-1,-0.50,0,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,
23,2019,2019-10-27,7,8,22.144,NYJ,@,JAX,L 15-29,*,21,30,70.00,218,2,3,73.3,8,51,7.27,4.10,1,-1,-1.00,0,0,0,1,0,0,0,0,0,58,100%,0,0%,0,0%,
24,2019,2019-11-03,8,9,22.151,NYJ,@,MIA,L 18-26,*,27,39,69.23,260,1,1,85.4,3,22,6.67,6.03,2,1,0.50,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
25,2019,2019-11-10,9,10,22.158,NYJ,,NYG,W 34-27,*,19,30,63.33,230,1,0,97.9,2,12,7.67,8.33,3,25,8.33,1,1,6,0,0,0,0,0,0,65,100%,0,0%,0,0%,
26,2019,2019-11-17,10,11,22.165,NYJ,@,WAS,W 34-17,*,19,30,63.33,293,4,1,121.3,2,8,9.77,10.93,2,-3,-1.50,0,0,0,1,0,0,0,0,0,70,100%,0,0%,0,0%,
27,2019,2019-11-24,11,12,22.172,NYJ,,OAK,W 34-3,*,20,29,68.97,315,2,0,127.8,1,2,10.86,12.24,4,16,4.00,1,1,6,1,0,0,1,0,0,59,94%,0,0%,0,0%,
28,2019,2019-12-01,12,13,22.179,NYJ,@,CIN,L 6-22,*,28,48,58.33,239,0,0,71.4,4,30,4.98,4.98,2,9,4.50,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
29,2019,2019-12-08,13,14,22.186,NYJ,,MIA,W 22-21,*,20,36,55.56,270,2,1,86.6,1,8,7.50,7.36,3,3,1.00,0,0,0,1,0,0,0,-4,0,71,100%,0,0%,0,0%,
30,2019,2019-12-12,14,15,22.190,NYJ,@,BAL,L 21-42,*,18,32,56.25,218,2,1,85.2,1,11,6.81,6.66,1,11,11.00,0,0,0,1,1,0,0,0,0,59,100%,0,0%,0,0%,
31,2019,2019-12-22,15,16,22.200,NYJ,,PIT,W 16-10,*,16,26,61.54,183,1,0,95.5,2,9,7.04,7.81,4,3,0.75,0,0,0,3,1,0,1,-6,0,61,100%,0,0%,0,0%,
32,2019,2019-12-29,16,17,22.207,NYJ,@,BUF,W 13-6,*,23,36,63.89,199,1,1,76.0,2,14,5.53,4.83,3,-2,-0.67,0,0,0,1,0,0,1,-3,0,67,100%,0,0%,0,0%,
33,2020,2020-09-13,1,1,23.100,NYJ,@,BUF,L 17-27,*,21,35,60.00,215,1,1,75.3,3,13,6.14,5.43,1,6,6.00,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
34,2020,2020-09-20,2,2,23.107,NYJ,,SFO,L 13-31,*,21,32,65.63,179,1,0,90.5,1,6,5.59,6.22,2,7,3.50,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
35,2020,2020-09-27,3,3,23.114,NYJ,@,IND,L 7-36,*,17,29,58.62,168,1,3,47.0,2,17,5.79,1.83,5,20,4.00,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
36,2020,2020-10-01,4,4,23.118,NYJ,,DEN,L 28-37,*,23,42,54.76,230,0,0,70.5,6,54,5.48,5.48,6,84,14.00,1,1,6,0,0,0,0,0,0,73,95%,0,0%,0,0%,
39,2020,2020-10-25,7,7,23.142,NYJ,,BUF,L 10-18,*,12,23,52.17,120,0,2,31.1,6,29,5.22,1.30,0,0,,0,0,0,1,0,0,0,0,0,57,100%,0,0%,0,0%,
40,2020,2020-11-01,8,8,23.149,NYJ,@,KAN,L 9-35,*,18,30,60.00,133,0,0,70.6,1,5,4.43,4.43,4,21,5.25,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
43,2020,2020-11-29,11,12,23.177,NYJ,,MIA,L 3-20,*,16,27,59.26,197,0,2,51.0,3,24,7.30,3.96,2,9,4.50,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
44,2020,2020-12-06,12,13,23.184,NYJ,,LVR,L 28-31,*,14,23,60.87,186,2,1,97.4,3,16,8.09,7.87,3,26,8.67,1,1,6,2,2,0,0,0,0,62,100%,0,0%,0,0%,
45,2020,2020-12-13,13,14,23.191,NYJ,@,SEA,L 3-40,*,14,26,53.85,132,0,0,68.1,3,16,5.08,5.08,1,3,3.00,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
46,2020,2020-12-20,14,15,23.198,NYJ,@,LAR,W 23-20,*,22,31,70.97,207,1,0,99.8,2,11,6.68,7.32,5,18,3.60,0,0,0,1,0,0,0,0,0,65,100%,0,0%,0,0%,
47,2020,2020-12-27,15,16,23.205,NYJ,,CLE,W 23-16,*,16,32,50.00,175,2,0,87.4,2,16,5.47,6.72,7,20,2.86,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
48,2020,2021-01-03,16,17,23.212,NYJ,@,NWE,L 14-28,*,23,34,67.65,266,1,2,76.3,3,27,7.82,5.76,1,3,3.00,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
49,2021,2021-09-12,1,1,24.099,CAR,,NYJ,W 19-14,*,24,35,68.57,279,1,0,102.0,1,9,7.97,8.54,5,-1,-0.20,1,1,6,1,1,0,0,-1,0,64,100%,0,0%,0,0%,
50,2021,2021-09-19,2,2,24.106,CAR,,NOR,W 26-7,*,26,38,68.42,305,2,1,99.1,2,11,8.03,7.89,1,7,7.00,0,0,0,1,0,0,1,6,0,76,100%,0,0%,0,0%,
51,2021,2021-09-23,3,3,24.110,CAR,@,HOU,W 24-9,*,23,34,67.65,304,0,0,95.7,3,14,8.94,8.94,8,11,1.38,2,2,12,2,0,0,0,0,0,73,100%,0,0%,0,0%,
52,2021,2021-10-03,4,4,24.120,CAR,@,DAL,L 28-36,*,26,39,66.67,301,2,2,85.5,5,35,7.72,6.44,6,35,5.83,2,2,12,0,0,0,0,0,0,70,100%,0,0%,0,0%,
53,2021,2021-10-10,5,5,24.127,CAR,,PHI,L 18-21,*,21,37,56.76,177,1,3,44.5,3,19,4.78,1.68,2,10,5.00,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
54,2021,2021-10-17,6,6,24.134,CAR,,MIN,L 28-34,*,17,41,41.46,207,1,1,55.6,4,19,5.05,4.44,4,48,12.00,0,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,
55,2021,2021-10-24,7,7,24.141,CAR,@,NYG,L 3-25,*,16,25,64.00,112,0,1,57.4,3,12,4.48,2.68,0,0,,0,0,0,0,0,0,0,0,0,45,70%,0,0%,0,0%,
56,2021,2021-10-31,8,8,24.148,CAR,@,ATL,W 19-13,*,13,24,54.17,129,0,0,69.6,0,0,5.38,5.38,8,66,8.25,0,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,
57,2021,2021-11-07,9,9,24.155,CAR,,NWE,L 6-24,*,16,33,48.48,172,0,3,26.3,1,10,5.21,1.12,3,9,3.00,0,0,0,1,0,0,1,0,0,59,100%,0,0%,0,0%,
63,2021,2021-12-26,15,16,24.204,CAR,,TAM,L 6-32,,15,32,46.88,190,0,0,65.9,4,21,5.94,5.94,1,11,11.00,0,0,0,1,0,0,1,0,0,44,63%,0,0%,0,0%,
64,2021,2022-01-02,16,17,24.211,CAR,@,NOR,L 10-18,*,17,26,65.38,132,0,1,61.7,7,42,5.08,3.35,2,7,3.50,0,0,0,1,1,0,0,0,0,60,98%,0,0%,0,0%,
65,2021,2022-01-09,17,18,24.218,CAR,@,TAM,L 17-41,*,29,42,69.05,219,2,1,87.3,2,12,5.21,5.10,8,19,2.38,0,0,0,1,1,0,0,0,0,71,99%,0,0%,0,0%,
77,2022,2022-11-27,12,12,25.175,CAR,,DEN,W 23-10,*,11,19,57.89,164,1,0,103.8,0,0,8.63,9.68,3,3,1.00,1,1,6,1,0,0,1,0,0,66,100%,0,0%,0,0%,
78,2022,2022-12-11,13,14,25.189,CAR,@,SEA,W 30-24,*,14,24,58.33,120,1,0,85.4,2,15,5.00,5.83,4,30,7.50,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
79,2022,2022-12-18,14,15,25.196,CAR,,PIT,L 16-24,*,14,23,60.87,225,1,0,108.1,4,37,9.78,10.65,2,2,1.00,0,0,0,0,0,0,0,0,0,46,100%,0,0%,0,0%,
