Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
6,2020,2020-10-18,6,6,22.230,MIA,,NYJ,W 24-0,,2,2,100.00,9,0,0,85.4,0,0,4.50,4.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,9%,0,0%,0,0%,
7,2020,2020-11-01,7,8,22.244,MIA,,LAR,W 28-17,*,12,22,54.55,93,1,0,80.3,1,3,4.23,5.14,2,0,0.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,49,100%,0,0%,0,0%,
8,2020,2020-11-08,8,9,22.251,MIA,@,ARI,W 34-31,*,20,28,71.43,248,2,0,122.3,3,27,8.86,10.29,7,35,5.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
9,2020,2020-11-15,9,10,22.258,MIA,,LAC,W 29-21,*,15,25,60.00,169,2,0,106.9,0,0,6.76,8.36,6,-1,-0.17,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,58,100%,0,0%,0,0%,
10,2020,2020-11-22,10,11,22.265,MIA,@,DEN,L 13-20,*,11,20,55.00,83,1,0,81.9,6,33,4.15,5.15,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,68%,0,0%,0,0%,
12,2020,2020-12-06,12,13,22.279,MIA,,CIN,W 19-7,*,26,39,66.67,296,1,0,97.8,0,0,7.59,8.10,3,3,1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
13,2020,2020-12-13,13,14,22.286,MIA,,KAN,L 27-33,*,28,48,58.33,316,2,1,83.3,4,29,6.58,6.48,6,24,4.00,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,83,100%,0,0%,0,0%,
14,2020,2020-12-20,14,15,22.293,MIA,,NWE,W 22-12,*,20,26,76.92,145,0,1,73.4,2,12,5.58,3.85,3,9,3.00,2,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
15,2020,2020-12-26,15,16,22.299,MIA,@,LVR,W 26-25,*,17,22,77.27,94,1,0,99.4,3,23,4.27,5.18,3,11,3.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,73%,0,0%,0,0%,
16,2020,2021-01-03,16,17,22.307,MIA,@,BUF,L 26-56,*,35,58,60.34,361,1,3,62.5,1,9,6.22,4.24,6,28,4.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83,100%,0,0%,0,0%,
17,2021,2021-09-12,1,1,23.194,MIA,@,NWE,W 17-16,*,16,27,59.26,202,1,1,79.6,2,17,7.48,6.56,4,1,0.25,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,96%,0,0%,0,0%,
18,2021,2021-09-19,2,2,23.201,MIA,,BUF,L 0-35,*,1,4,25.00,13,0,0,40.6,2,13,3.25,3.25,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,12%,0,0%,0,0%,
22,2021,2021-10-17,6,6,23.229,MIA,@,JAX,L 20-23,*,33,47,70.21,329,2,1,95.1,0,0,7.00,6.89,3,22,7.33,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,99%,0,0%,0,0%,
23,2021,2021-10-24,7,7,23.236,MIA,,ATL,L 28-30,*,32,40,80.00,291,4,2,109.5,1,10,7.28,7.03,4,29,7.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
24,2021,2021-10-31,8,8,23.243,MIA,@,BUF,L 11-26,*,21,39,53.85,205,0,1,58.2,2,11,5.26,4.10,4,10,2.50,1,1,6,0.0,0,1,1,0,0,1,0,0,0,0,0,69,100%,0,0%,0,0%,
26,2021,2021-11-11,10,10,23.254,MIA,,BAL,W 22-10,,8,13,61.54,158,0,0,104.0,1,6,12.15,12.15,3,0,0.00,1,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,32,46%,0,0%,0,0%,
27,2021,2021-11-21,11,11,23.264,MIA,@,NYJ,W 24-17,*,27,33,81.82,273,2,1,108.7,0,0,8.27,8.12,3,6,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
28,2021,2021-11-28,12,12,23.271,MIA,,CAR,W 33-10,*,27,31,87.10,230,1,0,108.3,2,26,7.42,8.06,4,0,0.00,0,0,0,0.0,0,0,0,0,0,2,0,0,1,0,0,74,100%,0,0%,0,0%,
29,2021,2021-12-05,13,13,23.278,MIA,,NYG,W 20-9,*,30,41,73.17,244,2,0,104.1,2,15,5.95,6.93,2,1,0.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
30,2021,2021-12-19,14,15,23.292,MIA,,NYJ,W 31-24,*,16,27,59.26,196,2,2,75.5,1,0,7.26,5.41,7,19,2.71,0,0,0,0.0,0,0,0,0,0,1,0,0,1,3,0,68,96%,0,0%,0,0%,
31,2021,2021-12-27,15,16,23.300,MIA,@,NOR,W 20-3,*,19,26,73.08,198,1,1,91.5,2,25,7.62,6.65,1,1,1.00,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,61,94%,0,0%,0,0%,
32,2021,2022-01-02,16,17,23.306,MIA,@,TEN,L 3-34,*,18,38,47.37,205,0,1,53.1,4,23,5.39,4.21,2,1,0.50,0,0,0,0.0,0,0,0,0,0,3,1,0,0,-1,0,61,98%,0,0%,0,0%,
33,2021,2022-01-09,17,18,23.313,MIA,,NWE,W 33-24,*,15,22,68.18,109,1,0,94.7,1,6,4.95,5.86,5,38,7.60,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
34,2022,2022-09-11,1,1,24.193,MIA,,NWE,W 20-7,*,23,33,69.70,270,1,0,104.4,3,28,8.18,8.79,2,0,0.00,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,60,100%,0,0%,0,0%,
35,2022,2022-09-18,2,2,24.200,MIA,@,BAL,W 42-38,*,36,50,72.00,469,6,2,124.1,1,8,9.38,9.98,1,1,1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
36,2022,2022-09-25,3,3,24.207,MIA,,BUF,W 21-19,*,13,18,72.22,186,1,0,123.8,1,7,10.33,11.44,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,93%,0,0%,0,0%,
37,2022,2022-09-29,4,4,24.211,MIA,@,CIN,L 15-27,*,8,14,57.14,110,0,1,52.7,1,10,7.86,4.64,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,39%,0,0%,0,0%,
